age,sex,race,diff_custody,diff_jail,priors_count,juv_fel_count,juv_misd_count,juv_other_count,c_charge_degree,compas_score
56,Female,African-American,3,3,0,0,0,0,M,0
39,Male,African-American,5,4,1,0,0,0,M,0
29,Male,African-American,1,1,5,0,0,0,F,1
27,Male,Caucasian,58,14,1,0,0,1,F,1
40,Male,African-American,3,3,2,0,0,0,F,0
22,Male,African-American,21,16,1,0,0,0,M,0
22,Male,Caucasian,21,57,0,0,0,0,F,1
26,Female,African-American,58,2,1,0,0,0,F,0
27,Male,Caucasian,137,19,1,0,0,0,F,1
32,Male,African-American,1,1,0,0,0,0,F,0
41,Male,African-American,2,1,1,0,0,0,M,0
30,Male,African-American,1,1,8,0,0,0,M,1
25,Male,African-American,19,7,14,1,6,1,F,1
22,Male,African-American,30,30,2,1,0,0,F,1
23,Male,African-American,1,0,2,0,0,1,M,1
35,Female,African-American,1,0,1,0,0,0,M,0
36,Male,African-American,4,3,9,0,0,0,F,1
26,Male,Caucasian,10,0,7,0,0,0,F,1
25,Male,Caucasian,2,0,9,0,0,0,F,1
71,Male,African-American,46,19,12,0,0,0,M,1
20,Female,Caucasian,1,0,0,0,0,0,F,1
39,Male,Caucasian,22,0,2,0,0,0,F,0
66,Male,Caucasian,30,30,3,0,0,0,F,0
54,Female,Caucasian,0,0,0,0,0,0,M,0
19,Male,African-American,6,9,1,0,0,0,M,0
24,Male,African-American,0,137,1,0,0,0,F,0
30,Male,African-American,1,0,1,0,0,0,F,0
39,Female,Caucasian,2,1,0,0,0,0,F,0
24,Male,Caucasian,12,12,8,0,1,2,F,1
30,Male,Caucasian,27,5,0,0,0,0,F,0
31,Male,Caucasian,39,38,0,0,0,0,M,1
39,Female,Caucasian,5,106,1,0,0,0,F,0
59,Male,African-American,110,109,14,0,0,0,F,1
43,Male,Caucasian,1,1,1,0,0,0,F,0
21,Male,African-American,302,6,3,0,0,0,F,1
38,Male,Caucasian,1,2,5,0,0,0,M,0
34,Male,Caucasian,69,14,0,0,0,0,F,1
33,Male,African-American,0,0,5,0,0,0,F,1
37,Male,African-American,7,1,3,0,0,0,F,0
42,Male,Caucasian,1,0,1,0,0,0,F,0
41,Male,African-American,41,176,10,0,1,0,F,1
22,Male,African-American,0,0,0,0,0,0,F,0
33,Male,African-American,1,1,28,0,12,2,F,1
31,Male,African-American,1,1,1,0,0,0,M,1
31,Male,Caucasian,471,471,13,0,0,0,F,1
27,Male,African-American,1,0,3,0,0,0,F,1
56,Male,African-American,80,79,8,0,0,0,F,1
52,Male,Caucasian,1,0,3,0,0,0,M,1
33,Male,African-American,32,0,19,0,0,0,F,1
64,Female,Caucasian,0,0,2,0,0,0,M,0
22,Male,Caucasian,19,14,4,0,0,0,F,1
42,Male,Caucasian,86,0,6,0,0,0,F,0
25,Female,Caucasian,21,3,2,0,0,0,F,0
30,Male,Caucasian,4,3,1,0,0,0,M,0
28,Male,Caucasian,46,19,2,0,0,0,F,0
28,Male,Caucasian,0,0,0,0,0,0,M,0
24,Female,African-American,2,2,0,0,0,0,M,0
29,Female,Caucasian,38,7,10,0,1,0,F,0
44,Male,Caucasian,0,0,2,0,0,0,M,0
32,Male,African-American,8,8,3,0,0,0,F,1
31,Male,Caucasian,15,15,2,0,0,0,M,0
31,Male,African-American,1,1,1,0,0,0,M,0
59,Male,Caucasian,55,0,1,0,0,0,F,0
45,Female,Caucasian,46,19,4,0,0,0,F,0
20,Female,African-American,9,2,1,1,0,0,F,1
43,Female,Caucasian,1,0,0,0,0,0,M,0
38,Male,African-American,1,13,9,1,1,0,F,1
32,Male,African-American,36,1,11,0,0,0,F,1
33,Male,African-American,0,0,8,0,0,0,M,1
31,Female,African-American,35,1,0,0,0,0,F,0
33,Female,African-American,19,26,7,0,0,0,F,1
27,Male,African-American,0,1,2,0,0,0,F,1
20,Female,African-American,0,0,0,0,0,0,F,1
26,Female,Caucasian,1,0,0,0,0,0,M,1
61,Female,African-American,1,0,1,0,0,0,F,0
32,Female,African-American,118,6,4,0,0,0,F,1
26,Female,African-American,1,0,2,0,0,0,M,0
55,Male,African-American,1,1,3,0,0,0,M,0
39,Male,Caucasian,4,3,1,1,0,0,M,0
30,Female,Caucasian,530,530,3,0,0,0,F,1
30,Male,African-American,3,70,1,0,0,0,F,1
48,Male,Caucasian,1,0,2,0,0,0,M,0
22,Male,African-American,188,0,1,0,0,0,F,0
46,Male,Caucasian,23,22,6,0,0,0,F,0
49,Female,Caucasian,5,5,6,0,0,0,F,1
31,Male,Caucasian,50,2,0,0,0,0,F,1
25,Male,African-American,4,1,1,0,0,0,M,0
32,Female,African-American,1,1,5,0,0,0,F,1
62,Male,African-American,16,15,8,0,0,0,F,0
37,Female,Caucasian,188,105,6,0,0,0,F,1
55,Male,Caucasian,18,18,1,0,0,0,F,0
28,Male,African-American,16,0,6,0,0,0,M,1
78,Male,Caucasian,1,0,1,0,0,0,M,0
56,Male,Caucasian,1,1,0,0,0,0,F,0
38,Male,African-American,28,33,22,2,2,1,F,1
22,Male,African-American,0,0,1,0,0,0,F,1
47,Male,African-American,34,0,23,0,0,0,M,1
23,Male,African-American,9,1,0,0,0,0,M,0
38,Female,Caucasian,8,0,2,0,0,0,F,1
66,Male,African-American,2,2,3,0,0,0,F,0
45,Male,Caucasian,11,71,8,0,0,0,M,0
32,Male,African-American,97,97,13,0,0,0,F,1
37,Male,African-American,32,0,2,0,0,0,M,1
39,Male,Caucasian,1,0,0,0,0,0,F,0
26,Male,African-American,106,79,9,0,0,0,F,1
45,Male,Caucasian,359,358,2,0,0,0,F,0
23,Male,African-American,193,0,0,0,0,0,F,0
34,Male,African-American,23,25,2,0,0,0,M,0
23,Female,African-American,1,0,1,0,0,0,M,0
50,Male,Caucasian,1,1,1,0,0,0,F,0
37,Female,Caucasian,0,0,0,0,0,0,M,0
44,Male,Caucasian,1,1,4,0,0,0,M,0
35,Female,African-American,2,2,23,0,1,0,F,1
26,Male,African-American,18,1,2,0,0,0,F,1
27,Male,African-American,3,2,0,0,0,0,M,0
28,Female,African-American,29,29,0,0,0,0,F,1
43,Male,Caucasian,384,121,11,0,0,0,F,1
28,Female,Caucasian,1504,1,7,0,0,0,F,1
38,Male,African-American,0,1,2,0,0,0,F,0
27,Male,Caucasian,36,36,2,0,0,0,M,0
28,Female,African-American,79,38,1,0,0,0,F,1
56,Male,Caucasian,1,0,7,0,0,0,F,0
38,Male,African-American,2,1,15,0,0,0,F,1
28,Male,African-American,1,0,2,0,0,0,M,1
45,Male,African-American,219,218,3,0,0,0,F,1
61,Male,Caucasian,1,0,1,0,0,0,F,0
51,Female,Caucasian,67,0,0,0,0,0,M,0
51,Male,Caucasian,1,0,0,0,0,0,M,0
48,Male,African-American,1,1,0,0,0,0,F,0
37,Male,Caucasian,2,1,4,0,0,0,F,0
30,Female,African-American,3,2,2,0,0,0,F,1
41,Female,African-American,0,0,5,0,0,0,M,1
27,Male,African-American,223,223,11,0,0,0,F,1
37,Male,African-American,13,1,0,0,0,0,M,0
54,Male,African-American,130,129,11,0,0,0,F,1
23,Male,African-American,72,71,2,0,0,0,F,1
26,Female,African-American,227,226,2,0,0,0,F,0
41,Male,African-American,1,0,0,0,0,0,M,0
52,Male,Caucasian,1,0,0,0,0,0,F,0
43,Male,Caucasian,230,51,13,0,0,0,F,0
52,Male,African-American,14,13,0,0,0,0,F,0
28,Male,Caucasian,3,3,1,0,0,0,F,0
30,Male,African-American,6,1,11,0,0,2,M,1
28,Male,Caucasian,6,6,1,0,0,0,F,1
22,Male,African-American,1,0,0,0,0,0,F,0
30,Male,African-American,0,0,4,0,0,0,F,0
31,Male,Caucasian,42,30,0,0,0,0,F,1
37,Male,Caucasian,18,35,0,0,0,0,F,0
32,Male,African-American,1,1,14,0,1,0,F,1
26,Male,African-American,76,75,4,0,1,0,M,1
53,Male,Caucasian,1,1,1,0,0,0,M,0
28,Male,African-American,26,25,25,0,0,0,F,1
44,Male,Caucasian,5,4,8,0,0,0,M,1
25,Male,African-American,0,0,0,0,0,0,F,0
22,Male,Caucasian,7,5,1,0,0,1,M,1
36,Male,Caucasian,22,22,8,0,0,0,F,1
30,Male,Caucasian,62,62,4,0,0,0,F,0
22,Male,African-American,16,0,3,0,0,0,M,1
24,Female,Caucasian,1,29,1,0,0,0,M,1
27,Male,African-American,2,6,3,0,0,0,M,0
23,Female,Caucasian,1,0,5,0,0,4,F,1
29,Male,African-American,1,0,1,0,0,0,M,0
20,Male,African-American,121,1,1,0,0,0,F,1
30,Male,African-American,2,1,2,0,0,0,F,1
27,Male,African-American,13,0,4,0,0,0,F,0
31,Male,Caucasian,11,10,2,0,0,0,M,0
37,Female,African-American,14,0,2,0,0,0,F,0
20,Male,African-American,3,2,0,0,0,0,F,1
52,Female,African-American,1,0,0,0,0,0,F,0
23,Female,African-American,4,3,0,0,0,0,F,0
48,Female,African-American,2,1,0,0,0,0,F,0
66,Male,African-American,780,19,8,0,0,0,F,1
25,Male,Caucasian,5,0,0,0,0,0,F,1
27,Male,Caucasian,242,1,0,0,0,0,F,1
30,Male,African-American,1,1,11,0,0,0,F,1
22,Male,African-American,2,1,3,0,1,1,M,1
22,Female,Caucasian,1,0,1,0,0,0,F,0
35,Male,African-American,261,19,2,0,0,0,F,1
32,Male,Caucasian,40,40,2,0,0,0,F,0
41,Female,African-American,1,0,2,0,0,0,M,0
44,Male,African-American,118,117,24,0,0,0,M,1
52,Male,African-American,42,24,3,0,0,0,F,1
43,Male,African-American,41,41,0,0,0,0,F,0
37,Male,Caucasian,3,2,3,0,0,0,F,0
28,Male,African-American,3,2,3,0,0,0,M,0
70,Male,Caucasian,13,12,1,0,0,0,M,0
54,Male,Caucasian,2,0,6,0,0,0,F,0
46,Male,Caucasian,14,14,3,0,0,0,F,0
21,Male,African-American,1,1,0,0,0,0,M,1
26,Male,African-American,11,1,1,0,0,0,M,1
34,Male,Caucasian,1,1,5,0,0,0,M,0
19,Male,African-American,10,48,1,0,0,0,F,1
34,Male,African-American,1,0,5,0,0,0,M,0
23,Male,Caucasian,1,0,0,0,0,0,F,1
34,Male,African-American,3,2,5,0,0,0,F,0
30,Male,African-American,83,83,2,0,0,0,F,0
39,Male,African-American,3,2,6,0,0,0,F,0
33,Male,Caucasian,1,0,1,0,0,0,M,0
58,Male,Caucasian,2,1,2,0,0,0,F,0
21,Female,African-American,1,0,0,0,0,0,M,1
21,Male,African-American,11,36,1,0,0,0,F,1
23,Male,African-American,4,11,4,0,0,1,M,1
62,Male,Caucasian,1,1,0,0,0,0,F,0
27,Male,African-American,1,0,4,1,0,1,M,1
37,Male,Caucasian,11,10,5,0,0,0,F,0
32,Female,African-American,0,0,5,0,0,0,F,0
27,Male,African-American,1,0,0,0,0,0,M,0
44,Male,Caucasian,1,1,0,0,0,0,M,0
28,Male,Caucasian,0,0,3,0,0,0,M,0
42,Female,Caucasian,19,1,0,0,0,0,F,0
27,Male,African-American,17,17,0,0,0,0,F,0
20,Male,African-American,4,0,0,0,0,0,F,1
51,Female,Caucasian,1,1,0,0,0,0,M,0
56,Male,Caucasian,1,1,0,0,0,0,M,0
29,Male,African-American,1,1,7,0,0,0,F,1
20,Male,African-American,15,209,0,0,0,0,F,1
53,Male,Caucasian,174,174,6,0,0,0,F,0
27,Male,Caucasian,239,68,8,0,0,0,F,1
24,Male,African-American,53,19,2,0,1,0,F,1
53,Male,Caucasian,1,32,36,0,0,0,F,1
28,Male,Caucasian,1,1,2,0,0,0,M,0
45,Male,African-American,46,19,1,0,0,0,F,0
36,Female,African-American,12,12,0,0,0,0,F,1
25,Female,Caucasian,9,1,2,0,0,0,M,0
28,Male,Caucasian,1,1,1,0,0,0,F,1
21,Female,African-American,0,1,0,0,0,0,F,1
36,Male,Caucasian,1,0,0,0,0,0,M,0
24,Male,African-American,1,0,0,0,0,0,F,0
28,Male,African-American,32,32,3,0,0,0,F,1
29,Male,African-American,1,1,0,0,0,0,F,0
30,Female,Caucasian,4,3,0,0,0,0,M,1
25,Female,African-American,27,1,2,0,0,0,F,1
32,Male,African-American,2,1,12,0,1,0,F,1
23,Male,African-American,1,1,1,0,0,1,F,1
47,Male,African-American,1,0,3,0,0,0,F,0
37,Male,Caucasian,2,19,0,0,0,0,F,0
19,Male,African-American,1,1,2,0,2,0,F,1
21,Female,Caucasian,0,0,0,0,0,2,F,1
69,Male,Caucasian,1,0,0,0,0,0,M,0
21,Male,Caucasian,3,2,2,0,0,0,F,1
26,Male,African-American,2,3,6,0,0,1,M,1
22,Male,Caucasian,0,0,0,0,0,0,F,0
23,Female,African-American,23,0,0,0,0,0,F,1
49,Male,African-American,5,3,3,0,0,0,F,1
29,Male,African-American,1,50,2,0,0,1,M,0
60,Female,Caucasian,1,0,0,0,0,0,M,0
26,Female,African-American,161,19,0,0,0,0,M,1
23,Male,African-American,321,0,3,2,0,0,F,1
30,Male,Caucasian,2,1,0,0,0,0,F,0
21,Male,African-American,0,0,1,0,1,0,F,0
22,Male,Caucasian,2,0,2,0,0,0,M,1
57,Male,African-American,453,19,18,0,0,0,F,1
21,Male,African-American,220,219,4,0,0,0,F,1
21,Male,African-American,22,12,0,0,0,0,F,1
34,Male,Caucasian,0,0,1,0,0,0,M,0
50,Female,Caucasian,20,0,1,0,0,0,M,0
40,Male,Caucasian,8,8,0,0,0,0,F,1
25,Male,African-American,127,127,7,0,0,0,F,1
53,Female,Caucasian,1,0,1,0,0,0,M,0
24,Female,African-American,1,1,0,0,0,0,F,0
42,Male,African-American,4,4,1,0,0,0,F,0
28,Male,African-American,2,1,1,0,0,0,M,0
24,Male,Caucasian,36,36,1,0,0,0,M,0
26,Male,African-American,1,1,6,1,1,0,F,1
22,Male,African-American,198,260,4,0,0,0,F,1
21,Male,Caucasian,6,5,3,0,0,0,M,1
37,Male,African-American,70,17,23,0,0,0,F,1
35,Male,African-American,5,5,2,0,0,0,F,1
53,Male,African-American,1,0,2,0,0,0,F,0
60,Male,African-American,153,19,1,0,0,0,F,0
29,Male,African-American,4,1,7,0,0,0,F,0
48,Male,Caucasian,280,360,23,1,0,0,F,1
52,Female,Caucasian,0,0,0,0,0,0,M,0
27,Male,African-American,46,31,12,0,0,0,F,1
28,Male,African-American,15,51,5,0,0,0,F,1
33,Male,Caucasian,0,0,3,0,0,0,M,0
47,Male,Caucasian,4,291,5,0,0,0,F,1
36,Male,African-American,1,0,14,0,0,0,F,1
29,Male,African-American,2,1,2,1,0,0,F,1
22,Male,African-American,11,21,0,0,0,1,M,1
26,Male,African-American,48,0,6,0,0,2,F,1
25,Male,Caucasian,0,0,0,0,0,0,F,0
68,Male,Caucasian,1,0,2,0,0,0,F,0
56,Male,African-American,143,12,5,0,0,0,F,0
27,Male,African-American,43,52,9,0,0,0,F,1
52,Male,Caucasian,110,7,4,0,0,0,F,0
32,Male,African-American,4,1,3,0,0,0,F,0
39,Female,Caucasian,1,0,0,0,0,0,M,1
56,Male,Caucasian,1,0,0,0,0,0,M,0
22,Female,African-American,0,0,0,0,0,0,F,1
27,Female,African-American,1,0,1,0,0,0,F,0
53,Male,African-American,110,110,11,0,0,0,F,1
25,Male,Caucasian,0,0,0,0,0,0,M,0
22,Male,Caucasian,2,1,0,0,0,0,F,0
58,Female,Caucasian,17,1,2,0,0,0,M,0
31,Male,African-American,1,1,7,0,0,0,M,0
22,Male,Caucasian,290,0,1,0,0,0,F,1
28,Male,African-American,3,3,8,0,0,0,F,1
20,Male,African-American,1,0,0,0,0,0,F,1
29,Male,Caucasian,5,5,0,0,0,0,M,1
29,Male,African-American,88,87,8,0,0,0,F,1
58,Male,African-American,4,59,21,0,0,0,M,1
22,Male,African-American,6,106,3,0,0,0,F,1
37,Male,Caucasian,0,0,0,0,0,0,F,0
57,Male,African-American,118,25,1,0,0,0,F,1
27,Male,Caucasian,0,0,3,0,0,0,M,0
26,Male,African-American,1,33,3,0,0,0,F,0
24,Male,Caucasian,14,0,3,0,1,1,F,1
33,Male,Caucasian,1,1,0,0,0,0,F,0
29,Male,African-American,1,0,2,0,0,0,F,1
24,Female,African-American,100,1,3,0,0,0,F,1
19,Male,Caucasian,5,32,1,0,0,1,F,1
36,Male,Caucasian,1,0,2,0,0,0,M,0
24,Female,Caucasian,0,0,0,0,0,0,F,1
34,Male,Caucasian,0,0,0,0,0,0,M,0
20,Male,African-American,159,1,1,1,0,1,F,1
24,Male,African-American,1,1,1,0,0,0,M,0
61,Male,Caucasian,2,1,4,0,0,0,F,0
50,Female,African-American,0,0,3,0,0,0,F,0
30,Male,African-American,4,4,1,0,0,0,M,0
38,Male,African-American,1,1,5,0,0,0,F,0
24,Male,Caucasian,1,0,0,0,0,0,M,0
45,Male,African-American,65,64,16,0,0,0,F,0
46,Female,African-American,1,9,2,0,0,0,F,1
41,Male,Caucasian,4,3,0,0,0,0,M,0
27,Male,African-American,0,1,13,0,0,0,M,1
51,Female,African-American,66,66,16,0,0,0,F,1
26,Male,African-American,13,13,1,0,0,0,M,1
29,Male,African-American,1,1,3,0,0,0,F,1
52,Male,Caucasian,2,1,6,0,0,0,F,1
28,Male,Caucasian,22,4,1,0,0,0,F,0
55,Male,African-American,119,118,5,0,0,0,F,0
26,Male,African-American,0,0,10,1,1,0,F,1
28,Male,African-American,1,1,5,0,0,0,F,1
63,Male,Caucasian,5,3,2,0,0,0,F,0
42,Male,African-American,1,1,0,0,0,0,F,0
23,Male,African-American,22,0,6,1,2,2,F,1
54,Male,African-American,2,5,28,0,0,0,F,1
35,Male,African-American,7,10,8,0,0,1,F,1
24,Female,African-American,3,26,6,1,0,0,F,1
54,Male,African-American,1,0,2,0,0,0,M,0
58,Male,African-American,4,3,12,0,0,0,M,1
23,Male,Caucasian,1,0,1,0,0,1,M,1
35,Male,African-American,1,0,1,0,0,0,M,0
20,Male,African-American,1,2,1,0,0,0,F,1
51,Male,Caucasian,35,35,0,0,0,0,F,0
37,Male,Caucasian,7,6,3,0,0,0,F,0
47,Male,Caucasian,1,0,3,0,0,0,F,0
34,Male,Caucasian,1,1,4,0,0,0,F,1
56,Male,Caucasian,1,0,0,0,0,0,F,0
59,Male,Caucasian,6,0,1,0,0,0,F,0
24,Female,Caucasian,1,3,6,0,0,1,F,1
21,Male,Caucasian,9,8,2,0,0,4,M,1
26,Male,African-American,46,19,2,0,0,0,M,1
26,Male,African-American,1,1,1,0,0,0,F,0
30,Female,Caucasian,1,1,0,0,0,0,M,0
29,Male,Caucasian,54,18,6,0,0,0,F,1
29,Male,Caucasian,9,1,0,0,0,0,M,0
54,Male,African-American,1,1,0,0,0,0,M,0
29,Male,African-American,8,8,4,0,0,0,F,0
59,Female,Caucasian,1,0,0,0,0,0,M,0
38,Male,African-American,1,1,0,0,0,0,F,1
29,Male,African-American,77,25,4,0,0,0,F,1
27,Male,Caucasian,6,1,1,0,0,0,M,0
66,Male,African-American,14,13,33,0,0,0,F,1
27,Male,Caucasian,0,0,2,0,0,0,F,1
51,Male,Caucasian,0,1,1,0,0,0,M,0
35,Male,Caucasian,74,74,1,0,0,0,F,0
26,Male,African-American,46,19,1,0,0,0,F,1
52,Male,Caucasian,1,0,4,0,0,0,M,0
35,Female,African-American,0,0,12,0,0,0,M,0
26,Female,African-American,1,1,0,0,0,0,M,0
48,Female,Caucasian,1,0,0,0,0,0,M,0
33,Male,African-American,1,0,2,0,0,0,M,0
34,Female,African-American,1,52,6,0,0,0,F,0
59,Male,African-American,1,127,10,0,0,0,F,1
29,Male,African-American,2,2,5,0,0,0,F,1
24,Male,Caucasian,6,1,0,0,0,0,F,0
48,Male,Caucasian,129,129,1,0,0,0,F,1
55,Male,African-American,45,45,0,0,0,0,M,1
52,Male,African-American,1,1,4,0,0,0,M,1
20,Male,African-American,1,0,0,0,0,0,F,0
25,Male,Caucasian,5,5,4,0,0,0,F,0
24,Male,Caucasian,15,15,0,0,0,0,F,0
23,Male,Caucasian,1434,1,0,0,0,0,M,1
27,Male,Caucasian,1,1,6,0,1,3,F,0
25,Male,African-American,1,0,1,0,1,0,M,0
31,Male,African-American,0,0,0,0,0,0,F,0
25,Male,African-American,10,4,6,0,1,0,F,0
32,Male,Caucasian,1,0,1,0,0,0,F,0
21,Male,Caucasian,0,0,0,0,0,0,F,0
25,Male,Caucasian,15,0,0,0,0,0,F,0
35,Male,African-American,2,2,0,0,0,0,F,1
42,Male,African-American,68,1,14,0,0,0,F,1
24,Male,Caucasian,355,10,9,0,0,1,M,1
22,Male,Caucasian,62,62,6,1,0,4,F,1
47,Male,Caucasian,0,0,1,0,0,0,M,0
27,Male,African-American,0,1,5,0,0,0,F,1
46,Male,Caucasian,1,0,2,0,0,0,F,1
44,Male,African-American,0,0,1,0,0,0,M,0
27,Male,African-American,46,19,0,0,0,0,F,1
23,Male,Caucasian,1,0,2,0,0,0,F,0
42,Male,African-American,2,1,8,0,0,0,F,1
58,Male,African-American,58,144,6,0,0,0,F,1
26,Male,African-American,101,1,3,0,0,1,F,1
39,Male,African-American,2,3,3,0,0,0,F,0
21,Male,African-American,41,0,3,0,2,0,F,1
63,Male,Caucasian,6,5,1,0,0,0,M,0
22,Male,African-American,8,7,3,0,1,0,F,1
50,Male,African-American,1,0,3,0,0,0,M,0
38,Male,African-American,10,9,0,0,0,0,F,0
41,Male,Caucasian,5,6,1,0,0,0,F,1
28,Male,African-American,25,1,16,8,0,1,F,1
30,Female,African-American,1,1,0,0,0,0,M,0
23,Male,African-American,36,0,1,0,0,0,F,1
25,Male,Caucasian,11,12,2,0,0,0,F,0
40,Male,Caucasian,9,0,5,0,0,0,F,0
27,Male,African-American,64,64,5,0,0,0,M,0
44,Male,Caucasian,180,180,11,0,0,0,M,0
35,Female,African-American,48,1,6,0,0,0,F,0
42,Male,Caucasian,0,0,0,0,0,0,M,0
38,Male,African-American,0,0,15,0,0,0,F,1
25,Female,African-American,1,0,0,0,0,0,M,0
24,Male,Caucasian,46,19,1,0,0,0,F,0
49,Female,Caucasian,1,0,2,0,0,0,M,0
50,Male,Caucasian,26,1,5,0,0,0,F,0
28,Male,Caucasian,31,30,8,0,0,0,F,1
66,Male,Caucasian,1,0,0,0,0,0,M,0
46,Female,Caucasian,1,1,0,0,0,0,M,0
30,Male,African-American,1,1,5,0,0,1,F,1
22,Female,Caucasian,0,0,0,0,0,0,M,0
23,Male,Caucasian,1,9,1,0,0,0,M,0
24,Male,African-American,17,17,10,1,0,0,F,1
21,Male,African-American,118,117,4,4,0,0,F,1
28,Male,African-American,52,52,4,0,0,0,F,1
25,Male,African-American,3,0,0,0,0,0,M,0
21,Female,Caucasian,2,2,0,0,0,0,F,1
27,Male,African-American,1,1,0,0,0,0,M,0
24,Female,Caucasian,1,0,0,0,0,1,F,1
20,Male,African-American,1,0,1,1,0,0,F,0
31,Male,African-American,1,19,3,0,0,0,M,1
27,Male,African-American,1,6,3,0,0,0,M,1
59,Male,African-American,28,58,17,0,0,0,F,1
40,Male,African-American,1,1,0,0,0,0,F,0
22,Male,African-American,1,0,11,0,0,0,F,1
38,Female,African-American,1,0,1,0,0,0,F,0
30,Male,African-American,10,0,1,0,0,0,M,1
27,Male,Caucasian,1,34,6,0,0,0,F,1
43,Male,African-American,46,19,1,0,0,0,M,0
59,Female,Caucasian,0,0,0,0,0,0,M,0
37,Male,Caucasian,1,1,2,0,0,0,M,0
28,Male,African-American,1,1,5,0,0,0,M,1
38,Male,Caucasian,0,0,0,0,0,0,F,0
22,Male,African-American,41,0,0,0,0,1,F,1
25,Male,African-American,32,31,4,0,0,0,F,1
51,Male,Caucasian,0,0,0,0,0,0,M,0
29,Male,Caucasian,25,25,2,0,0,0,M,0
28,Male,African-American,8,0,10,0,0,0,F,0
26,Male,African-American,46,19,6,0,0,0,M,1
55,Male,African-American,8,3,9,0,0,0,M,0
23,Female,Caucasian,53,5,3,0,0,0,F,1
22,Female,African-American,8,7,0,0,0,0,M,1
19,Female,Caucasian,48,22,2,0,0,0,F,1
31,Male,African-American,0,0,1,0,0,0,M,0
29,Male,African-American,1,0,0,0,0,0,M,0
61,Male,African-American,1,1,15,0,0,0,F,1
24,Male,African-American,3,0,4,0,0,0,F,1
20,Male,African-American,109,2,4,0,1,1,F,1
26,Male,Caucasian,0,1,3,0,0,0,F,1
27,Male,Caucasian,1,1,5,0,0,0,M,1
25,Male,Caucasian,1,1,1,0,0,0,F,1
23,Male,Caucasian,9,9,3,0,2,0,F,1
38,Male,African-American,2,1,0,0,0,0,F,0
27,Male,African-American,153,0,18,0,2,1,F,1
35,Female,Caucasian,0,0,0,0,0,0,F,0
58,Female,African-American,2,1,4,0,0,0,F,0
57,Female,Caucasian,2,1,0,0,0,0,M,0
21,Male,African-American,1,0,0,0,0,1,F,0
22,Female,African-American,1,1,0,0,0,0,F,1
30,Male,African-American,3,2,0,0,0,0,F,0
