sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,is_recid,is_violent_recid,decile_score.1,v_decile_score,priors_count.1,start,end,event,two_year_recid
Male,19,African-American,0,4,0,0,1,-10.0,10.0,M,1,1,4,7,1,0,104,1,1
Male,24,African-American,0,2,0,0,1,-137.0,137.0,F,0,0,2,3,1,0,503,0,0
Male,30,African-American,0,2,0,0,1,-1.0,1.0,F,0,0,2,2,1,0,935,0,0
Female,39,Caucasian,0,1,0,0,0,-1.0,1.0,F,1,1,1,1,0,1,52,1,1
Male,24,Caucasian,0,6,1,2,8,-1.0,0.0,F,1,0,6,6,8,11,27,1,1
Male,30,Caucasian,0,4,0,0,0,-1.0,1.0,F,0,0,4,2,0,5,497,0,0
Male,31,Caucasian,0,5,0,0,0,-1.0,1.0,M,0,0,5,2,0,38,770,0,0
Female,39,Caucasian,0,4,0,0,1,-1.0,1.0,F,0,0,4,3,1,106,392,0,0
Male,59,African-American,0,9,0,0,14,178.0,265.0,F,1,1,9,4,14,0,178,1,1
Male,43,Caucasian,0,1,0,0,1,-30.0,30.0,F,0,0,1,1,1,0,960,0,0
Male,21,African-American,0,9,0,0,3,-1.0,1.0,F,1,0,9,6,3,5,24,1,1
Male,38,Caucasian,0,4,0,0,5,-1.0,1.0,M,1,0,4,3,5,2,55,1,1
Male,34,Caucasian,0,5,0,0,0,0.0,0.0,F,0,0,5,5,0,15,441,0,0
Male,33,African-American,0,5,0,0,5,0.0,1.0,F,1,0,5,2,5,0,345,1,1
Male,37,African-American,0,2,0,0,3,0.0,0.0,F,0,0,2,1,3,1,102,0,0
Male,42,Caucasian,0,2,0,0,1,0.0,1.0,F,1,0,2,2,1,1,2,1,1
Male,41,African-American,0,9,1,0,10,0.0,0.0,F,1,0,9,7,10,176,285,1,1
Male,22,African-American,0,4,0,0,0,-1.0,1.0,F,1,0,4,7,0,0,394,1,1
Male,33,African-American,0,8,12,2,28,-1.0,1.0,F,1,0,8,5,28,1,83,1,1
Male,31,African-American,0,7,0,0,1,-1.0,1.0,M,0,0,7,8,1,0,900,0,0
Male,31,Caucasian,0,10,0,0,13,-1.0,0.0,F,1,1,10,7,13,0,55,1,1
Male,27,African-American,0,9,0,0,3,-1.0,1.0,F,1,0,9,4,3,0,249,1,1
Male,56,African-American,0,9,0,0,8,67.0,79.0,F,0,0,9,3,8,0,67,0,0
Male,52,Caucasian,0,9,0,0,3,-2.0,2.0,M,0,0,9,6,3,0,977,0,0
Male,33,African-American,0,10,0,0,19,-1.0,1.0,F,1,0,10,7,19,0,222,0,1
Female,64,Caucasian,0,1,0,0,2,-47.0,48.0,M,0,0,1,1,2,0,732,0,0
Male,22,Caucasian,0,6,0,0,4,-36.0,36.0,F,1,0,6,8,4,0,139,0,1
Male,42,Caucasian,0,3,0,0,6,-4.0,5.0,F,0,0,3,1,6,0,408,0,0
Female,25,Caucasian,0,4,0,0,2,-1.0,1.0,F,0,0,4,5,2,2,359,0,0
Male,30,Caucasian,0,2,0,0,1,-20.0,20.0,M,0,0,2,2,1,0,864,0,0
Male,28,Caucasian,0,1,0,0,2,3.0,161.0,F,0,0,1,2,2,0,946,0,0
Male,28,Caucasian,0,2,0,0,0,-1.0,1.0,M,1,0,2,3,0,0,60,0,1
Female,24,African-American,0,2,0,0,0,-1.0,1.0,M,0,0,2,3,0,1,784,0,0
Female,29,Caucasian,0,4,1,0,10,-1.0,1.0,F,1,0,4,2,10,6,40,0,1
Male,44,Caucasian,0,2,0,0,2,0.0,1.0,M,1,0,2,1,2,0,216,1,1
Male,32,African-American,0,7,0,0,3,-1.0,1.0,F,1,0,7,3,3,7,413,0,1
Male,31,Caucasian,0,3,0,0,2,-16.0,16.0,M,1,0,3,3,2,0,48,1,1
Male,31,African-American,0,2,0,0,1,-1.0,1.0,M,1,0,2,3,1,0,1140,1,0
Male,59,Caucasian,0,2,0,0,1,-1.0,1.0,F,1,0,2,1,1,0,164,1,1
Female,45,Caucasian,0,4,0,0,4,3.0,375.0,F,0,0,4,3,4,0,1073,0,0
Female,20,African-American,1,10,0,0,1,0.0,0.0,F,0,0,10,10,1,3,119,0,0
Female,43,Caucasian,0,1,0,0,0,0.0,0.0,M,0,0,1,1,0,1,1053,0,0
Male,38,African-American,1,8,1,0,9,-1.0,1.0,F,1,0,8,4,9,12,129,1,1
Male,32,African-American,0,6,0,0,11,-2.0,2.0,F,1,1,6,5,11,0,24,1,1
Male,33,African-American,0,5,0,0,8,-1.0,1.0,M,1,1,5,2,8,0,187,1,1
Female,31,African-American,0,3,0,0,0,-1.0,1.0,F,1,0,3,2,0,1,76,0,1
Female,33,African-American,0,9,0,0,7,-1.0,1.0,F,1,0,9,9,7,25,275,1,1
Male,27,African-American,0,9,0,0,2,-1.0,1.0,F,1,0,9,8,2,0,18,0,1
Female,20,African-American,0,6,0,0,0,0.0,1.0,F,0,0,6,8,0,0,846,0,0
Female,26,Caucasian,0,6,0,0,0,-2.0,2.0,M,0,0,6,3,0,0,795,0,0
Female,61,African-American,0,1,0,0,1,-1.0,1.0,F,1,0,1,1,1,0,544,1,1
Female,32,African-American,0,10,0,0,4,-7.0,7.0,F,1,1,10,9,4,0,395,1,1
Female,26,African-American,0,4,0,0,2,-1.0,1.0,M,1,0,4,4,2,0,229,1,1
Male,55,African-American,0,1,0,0,3,-51.0,52.0,M,0,0,1,1,3,0,1009,0,0
Male,39,Caucasian,1,4,0,0,1,-1.0,1672.0,M,0,0,4,4,1,3,780,0,0
Female,30,Caucasian,0,7,0,0,3,0.0,1.0,F,1,0,7,4,3,0,14,1,1
Male,30,African-American,0,7,0,0,1,0.0,1.0,F,0,0,7,8,1,70,367,0,0
Male,48,Caucasian,0,2,0,0,2,-1.0,1.0,M,0,0,2,1,2,0,918,0,0
Male,22,African-American,0,2,0,0,1,-1.0,1.0,F,0,0,2,4,1,0,547,0,0
Male,46,Caucasian,0,1,0,0,6,22.0,31.0,F,1,0,1,1,6,0,22,1,1
Female,49,Caucasian,0,6,0,0,6,-56.0,56.0,F,0,0,6,2,6,0,744,0,0
Male,31,Caucasian,0,5,0,0,0,0.0,1.0,F,0,0,5,4,0,2,719,0,0
Male,25,African-American,0,2,0,0,1,-1.0,1.0,M,1,0,2,3,1,1,31,1,1
Female,32,African-American,0,7,0,0,5,-1.0,1.0,F,0,0,7,3,5,0,1138,0,0
Male,62,African-American,0,4,0,0,8,0.0,1.0,F,0,0,4,1,8,16,1151,0,0
Female,37,Caucasian,0,10,0,0,6,-110.0,111.0,F,0,0,10,4,6,0,417,0,0
Male,55,Caucasian,0,1,0,0,1,-45.0,45.0,F,0,0,1,1,1,0,934,0,0
Male,28,African-American,0,6,0,0,6,-1.0,1.0,M,1,1,6,6,6,0,482,1,1
Male,78,Caucasian,0,1,0,0,1,-1.0,1.0,M,1,0,1,1,1,0,310,1,1
Male,56,Caucasian,0,1,0,0,0,-1.0,1.0,F,0,0,1,1,0,0,760,0,0
Male,38,African-American,2,8,2,1,22,-34.0,35.0,F,1,0,8,5,22,0,238,1,1
Male,22,African-American,0,5,0,0,1,0.0,1.0,F,1,0,5,5,1,0,200,1,1
Male,47,African-American,0,8,0,0,23,-1.0,1.0,M,1,0,8,1,23,0,9,1,1
Male,23,African-American,0,2,0,0,0,-1.0,1.0,M,1,0,2,4,0,0,176,1,1
Female,38,Caucasian,0,5,0,0,2,-35.0,35.0,F,1,0,5,2,2,0,155,1,1
Male,66,African-American,0,1,0,0,3,-10.0,10.0,F,1,1,1,1,3,0,943,1,0
Male,45,Caucasian,0,4,0,0,8,0.0,0.0,M,1,0,4,3,8,71,584,0,1
Male,32,African-American,0,10,0,0,13,289.0,1.0,F,1,0,10,7,13,0,289,1,1
Male,37,African-American,0,9,0,0,2,0.0,0.0,M,1,1,9,8,2,0,104,1,1
Male,39,Caucasian,0,4,0,0,0,0.0,0.0,F,1,0,4,4,0,1,389,1,1
Male,26,African-American,0,9,0,0,9,0.0,1.0,F,1,0,9,8,9,79,173,1,1
Male,45,Caucasian,0,3,0,0,2,-1.0,1.0,F,0,0,3,4,2,358,1155,0,0
Male,23,African-American,0,3,0,0,0,-1.0,1.0,F,1,1,3,4,0,0,320,1,1
Male,34,African-American,0,2,0,0,2,0.0,1.0,M,1,0,2,1,2,26,758,1,0
Female,23,African-American,0,4,0,0,1,-1.0,1.0,M,0,0,4,4,1,0,954,0,0
Male,50,Caucasian,0,1,0,0,1,-4.0,4.0,F,0,0,1,1,1,0,879,0,0
Female,37,Caucasian,0,3,0,0,0,-1.0,1.0,M,0,0,3,1,0,0,875,0,0
Male,44,Caucasian,0,4,0,0,4,0.0,0.0,M,0,0,4,4,4,1,1181,0,0
Female,35,African-American,0,9,1,0,23,-1.0,1.0,F,1,0,9,9,23,1,318,1,1
Male,26,African-American,0,10,0,0,2,-1.0,1.0,F,1,0,10,8,2,0,379,1,1
Male,27,African-American,0,2,0,0,0,-1.0,1.0,M,0,0,2,3,0,2,1102,0,0
Female,28,African-American,0,8,0,0,0,0.0,1.0,F,0,0,8,6,0,29,885,0,0
Male,43,Caucasian,0,5,0,0,11,49.0,56.0,F,1,1,5,3,11,0,48,1,1
Female,28,Caucasian,0,9,0,0,7,-1.0,1.0,F,1,0,9,6,7,0,216,1,1
Male,38,African-American,0,1,0,0,2,-1.0,1.0,F,0,0,1,1,2,0,61,0,0
Male,27,Caucasian,0,4,0,0,2,-36.0,36.0,M,0,0,4,3,2,0,765,0,0
Female,28,African-American,0,9,0,0,1,-1.0,1.0,F,0,0,9,7,1,38,889,0,0
Male,56,Caucasian,0,1,0,0,7,-1.0,1.0,F,1,0,1,1,7,0,245,1,1
Male,38,African-American,0,9,0,0,15,-1.0,1.0,F,0,0,9,3,15,1,1137,0,0
Male,28,African-American,0,5,0,0,2,-1.0,2147.0,M,0,0,5,4,2,0,883,0,0
Male,45,African-American,0,6,0,0,3,104.0,23.0,F,0,0,6,4,3,0,104,0,0
Male,61,Caucasian,0,1,0,0,1,-34.0,34.0,F,0,0,1,1,1,0,1108,0,0
Female,51,Caucasian,0,1,0,0,0,-1.0,1.0,M,1,1,1,1,0,0,169,1,1
Male,51,Caucasian,0,2,0,0,0,-1.0,1.0,M,0,0,2,2,0,0,883,0,0
Male,48,African-American,0,1,0,0,0,-1.0,1.0,F,0,0,1,1,0,0,1174,0,0
Male,37,Caucasian,0,3,0,0,4,0.0,0.0,F,1,0,3,4,4,2,516,1,1
Female,30,African-American,0,7,0,0,2,-1.0,1.0,F,0,0,7,4,2,2,1054,0,0
Female,41,African-American,0,6,0,0,5,0.0,1.0,M,0,0,6,3,5,0,878,0,0
Male,27,African-American,0,10,0,0,11,-1.0,1.0,F,1,0,10,9,11,222,433,1,1
Male,37,African-American,0,1,0,0,0,-1.0,1.0,M,1,1,1,1,0,1,870,1,0
Male,54,African-American,0,9,0,0,11,-1.0,1.0,F,0,0,9,9,11,129,1060,0,0
Male,23,African-American,0,9,0,0,2,-1.0,1.0,F,0,0,9,5,2,71,1058,0,0
Female,26,African-American,0,4,0,0,2,-227.0,227.0,F,1,0,4,6,2,0,283,1,1
Male,41,African-American,0,1,0,0,0,0.0,0.0,M,0,0,1,1,0,1,797,0,0
Male,52,Caucasian,0,1,0,0,0,-1.0,1.0,F,0,0,1,1,0,0,1051,0,0
Male,43,Caucasian,0,4,0,0,13,0.0,1.0,F,1,0,4,1,13,51,161,1,1
Male,52,African-American,0,4,0,0,0,-1.0,1.0,F,0,0,4,3,0,13,787,0,0
Male,28,Caucasian,0,1,0,0,1,-3.0,3.0,F,0,0,1,2,1,0,1050,0,0
Male,30,African-American,0,9,0,2,11,-1.0,1.0,M,1,1,9,4,11,0,119,1,1
Male,28,Caucasian,0,5,0,0,1,0.0,0.0,F,0,0,5,3,1,6,917,0,0
Male,22,African-American,0,4,0,0,0,-1.0,1.0,F,0,0,4,6,0,0,1134,0,0
Male,30,African-American,0,2,0,0,4,0.0,0.0,F,0,0,2,2,4,0,1123,0,0
Male,31,Caucasian,0,8,0,0,0,-1.0,1.0,F,1,0,8,5,0,30,401,1,1
Male,37,Caucasian,0,2,0,0,0,-1.0,1.0,F,1,0,2,1,0,34,172,0,1
Male,32,African-American,0,9,1,0,14,-1.0,1.0,F,0,0,9,8,14,0,836,0,0
Male,26,African-American,0,8,1,0,4,649.0,1562.0,M,0,0,8,6,4,0,649,0,0
Male,53,Caucasian,0,1,0,0,1,-1.0,1.0,M,0,0,1,1,1,0,1171,0,0
Male,28,African-American,0,8,0,0,25,29.0,70.0,F,1,0,8,9,25,0,29,0,1
Male,44,Caucasian,0,5,0,0,8,-1.0,1.0,M,1,0,5,3,8,4,136,1,1
Male,25,African-American,0,3,0,0,0,0.0,1.0,F,0,0,3,4,0,0,938,0,0
Male,22,Caucasian,0,8,0,1,1,0.0,0.0,M,1,0,8,7,1,6,531,1,1
Male,36,Caucasian,0,7,0,0,8,150.0,0.0,F,1,1,7,9,8,0,150,1,1
Male,30,Caucasian,0,2,0,0,4,-140.0,140.0,F,0,0,2,2,4,0,779,0,0
Male,22,African-American,0,9,0,0,3,161.0,208.0,M,1,1,9,9,3,0,33,1,1
Female,24,Caucasian,0,7,0,0,1,-32.0,32.0,M,1,1,7,5,1,0,394,1,1
Male,27,African-American,0,2,0,0,3,-44.0,46.0,M,1,0,2,3,3,0,366,1,1
Female,23,Caucasian,0,5,0,4,5,-1.0,1.0,F,1,0,5,7,5,0,607,1,1
Male,29,African-American,0,3,0,0,1,-1.0,1.0,M,0,0,3,3,1,0,731,0,0
Male,20,African-American,0,8,0,0,1,-1.0,1.0,F,1,1,8,7,1,0,104,1,1
Male,30,African-American,0,6,0,0,2,-1.0,1.0,F,1,0,6,5,2,1,55,1,1
Male,27,African-American,0,4,0,0,4,-1.0,1.0,F,0,0,4,4,4,0,700,0,0
Male,31,Caucasian,0,4,0,0,2,812.0,1016.0,M,1,0,4,3,2,0,812,1,0
Female,37,African-American,0,1,0,0,2,0.0,0.0,F,0,0,1,1,2,1,294,0,0
Male,20,African-American,0,8,0,0,0,-1.0,1.0,F,0,0,8,6,0,2,772,0,0
Female,52,African-American,0,1,0,0,0,-1.0,1.0,F,0,0,1,1,0,0,973,0,0
Female,23,African-American,0,4,0,0,0,-1.0,1.0,F,1,0,4,4,0,3,468,1,1
Female,48,African-American,0,2,0,0,0,-1.0,1.0,F,0,0,2,3,0,1,870,0,0
Male,66,African-American,0,6,0,0,8,3.0,562.0,F,1,0,6,1,8,0,571,1,1
Male,25,Caucasian,0,5,0,0,0,0.0,1.0,F,0,0,5,4,0,0,355,0,0
Male,27,Caucasian,0,6,0,0,0,-1.0,1.0,F,1,1,6,7,0,1,220,1,1
Male,30,African-American,0,7,0,0,11,0.0,0.0,F,1,0,7,6,11,1,197,1,1
Male,22,African-American,0,10,1,1,3,-1.0,1.0,M,1,0,10,7,3,0,4,1,1
Female,22,Caucasian,0,3,0,0,1,-1.0,1.0,F,0,0,3,4,1,0,822,0,0
Male,35,African-American,0,10,0,0,2,3.0,1.0,F,0,0,10,8,2,0,798,0,0
Male,32,Caucasian,0,4,0,0,2,-232.0,232.0,F,0,0,4,4,2,0,938,0,0
Female,41,African-American,0,3,0,0,2,-1.0,1.0,M,0,0,3,1,2,0,970,0,0
Male,44,African-American,0,7,0,0,24,53.0,31.0,M,0,0,7,3,24,0,53,0,0
Male,52,African-American,0,6,0,0,3,0.0,1.0,F,1,0,6,2,3,25,43,1,1
Male,43,African-American,0,1,0,0,0,-1.0,1.0,F,0,0,1,1,0,40,1092,0,0
Male,37,Caucasian,0,1,0,0,3,-4.0,4.0,F,0,0,1,1,3,0,758,0,0
Male,28,African-American,0,4,0,0,3,299.0,100.0,M,1,1,4,3,3,0,299,1,1
Male,70,Caucasian,0,1,0,0,1,-13.0,13.0,M,0,0,1,1,1,0,1079,0,0
Male,54,Caucasian,0,2,0,0,6,-266.0,322.0,F,1,0,2,1,6,0,414,1,1
Male,46,Caucasian,0,4,0,0,3,-1.0,1.0,F,0,0,4,2,3,13,1066,0,0
Male,21,African-American,0,9,0,0,0,-1.0,1.0,M,1,0,9,7,0,0,278,1,1
Male,26,African-American,0,8,0,0,1,-1.0,1.0,M,1,1,8,6,1,1,415,1,1
Male,34,Caucasian,0,4,0,0,5,-1.0,1.0,M,0,0,4,4,5,0,802,0,0
Male,19,African-American,0,5,0,0,1,-48.0,48.0,F,1,0,5,7,1,0,472,1,1
Male,34,African-American,0,4,0,0,5,-1.0,1.0,M,0,0,4,4,5,0,849,0,0
Male,23,Caucasian,0,5,0,0,0,0.0,1.0,F,1,0,5,5,0,1,373,1,1
Male,34,African-American,0,4,0,0,5,-1.0,1.0,F,1,0,4,2,5,2,171,1,1
Male,30,African-American,0,1,0,0,2,-83.0,83.0,F,0,0,1,2,2,0,889,0,0
Male,39,African-American,0,3,0,0,6,-1.0,1.0,F,1,0,3,1,6,2,48,1,1
Male,33,Caucasian,0,3,0,0,1,-93.0,93.0,M,1,1,3,2,1,0,412,1,1
Male,58,Caucasian,0,3,0,0,2,-1.0,1.0,F,0,0,3,1,2,1,1133,0,0
Female,21,African-American,0,6,0,0,0,0.0,0.0,M,0,0,6,7,0,1,1186,0,0
Male,21,African-American,0,5,0,0,1,-36.0,36.0,F,1,0,5,7,1,0,955,1,0
Male,23,African-American,0,8,0,1,4,-11.0,11.0,M,1,0,8,5,4,0,246,1,1
Male,62,Caucasian,0,1,0,0,0,0.0,0.0,F,0,0,1,1,0,2,444,0,0
Male,27,African-American,1,8,0,1,4,300.0,707.0,M,1,0,8,10,4,0,300,1,1
Male,37,Caucasian,0,3,0,0,5,-1.0,1.0,F,0,0,3,1,5,10,851,0,0
Female,32,African-American,0,1,0,0,5,0.0,2.0,F,0,0,1,1,5,0,852,0,0
Male,27,African-American,0,1,0,0,0,0.0,1.0,M,0,0,1,2,0,1,1089,0,0
Male,44,Caucasian,0,1,0,0,0,-1.0,1.0,M,1,0,1,1,0,0,570,1,1
Male,28,Caucasian,0,3,0,0,3,-1.0,1.0,M,1,0,3,3,3,0,412,1,1
Female,42,Caucasian,0,2,0,0,0,-3.0,3.0,F,0,0,2,1,0,0,57,0,0
Male,27,African-American,0,2,0,0,0,0.0,0.0,F,0,0,2,3,0,17,808,0,0
Male,20,African-American,0,10,0,0,0,-1.0,1.0,F,1,0,10,9,0,0,30,1,1
Female,51,Caucasian,0,1,0,0,0,0.0,1.0,M,0,0,1,1,0,1,741,0,0
Male,56,Caucasian,0,1,0,0,0,0.0,1.0,M,0,0,1,1,0,1,842,0,0
Male,29,African-American,0,9,0,0,7,-1.0,1.0,F,0,0,9,6,7,0,1072,0,0
Male,20,African-American,0,9,0,0,0,-1.0,1.0,F,1,0,9,8,0,209,258,1,1
Male,53,Caucasian,0,1,0,0,6,-176.0,176.0,F,0,0,1,1,6,0,911,0,0
Male,27,Caucasian,0,5,0,0,8,-1.0,1.0,F,0,0,5,3,8,67,370,0,0
Male,24,African-American,0,9,1,0,2,-1.0,1.0,F,1,1,9,9,2,18,69,1,1
Male,53,Caucasian,0,6,0,0,36,-7.0,7.0,F,1,0,6,9,36,26,148,0,1
Male,28,Caucasian,0,3,0,0,2,0.0,1.0,M,1,1,3,4,2,1,107,1,1
Male,45,African-American,0,1,0,0,1,3.0,1.0,F,0,0,1,1,1,0,1115,0,0
Female,36,African-American,0,7,0,0,0,-1.0,1.0,F,0,0,7,5,0,11,1061,0,0
Female,25,Caucasian,0,4,0,0,2,-2.0,2.0,M,1,0,4,4,2,0,54,0,1
Male,28,Caucasian,0,5,0,0,1,-4.0,4.0,F,0,0,5,3,1,0,135,0,0
Female,21,African-American,0,8,0,0,0,-1.0,1.0,F,1,0,8,7,0,0,271,0,1
