sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,is_recid,r_charge_degree,is_violent_recid,v_decile_score,decile_score_again
Male,35,African-American,1,0,4,13,-1.0,1.0,F,1,M,1,3,8
Male,49,Caucasian,0,0,0,0,0.0,0.0,M,0,O,0,1,1
Male,34,African-American,0,0,0,4,-59.0,59.0,M,1,M,0,2,3
Male,29,African-American,0,0,0,0,0.0,1.0,F,0,O,0,3,4
Male,29,Caucasian,0,0,0,1,-24.0,24.0,F,1,M,0,2,2
Male,51,Caucasian,0,0,0,0,-1.0,1.0,F,0,O,0,1,2
Male,25,Caucasian,0,0,0,0,0.0,0.0,F,0,O,0,3,3
Male,48,Caucasian,0,0,0,20,302.0,562.0,F,1,M,0,4,6
Male,33,Caucasian,0,0,0,1,0.0,0.0,F,0,O,0,10,9
Male,30,African-American,0,0,1,3,-1.0,1.0,F,0,O,0,4,6
Male,31,African-American,0,0,1,15,-1.0,1.0,F,1,M,0,7,5
Male,24,African-American,0,0,0,2,-1.0,1.0,F,1,M,0,4,4
Male,27,African-American,0,0,0,0,-1.0,1.0,F,0,O,0,3,5
Male,32,Caucasian,0,0,0,3,-1.0,1.0,F,0,O,0,2,8
Male,49,African-American,0,0,0,4,-1.0,1.0,M,0,O,0,1,1
Male,53,Caucasian,0,0,0,8,-13.0,13.0,F,0,O,0,2,5
Male,35,African-American,0,0,0,5,-1.0,1.0,F,0,O,0,2,3
Male,63,African-American,0,0,0,10,-38.0,906.0,M,1,M,0,5,7
Male,33,African-American,0,0,0,2,-1.0,1.0,F,0,O,0,1,1
Male,27,African-American,1,1,2,15,-1.0,1.0,F,1,M,0,9,10
Male,38,Caucasian,0,0,0,4,-1.0,1.0,M,1,M,0,2,2
Male,46,Caucasian,3,1,0,9,-1.0,1.0,F,0,O,0,3,6
Male,22,African-American,0,0,1,1,-1.0,1.0,F,1,M,0,6,4
Female,34,Caucasian,0,0,0,0,0.0,0.0,M,0,O,0,1,1
Male,22,African-American,0,1,2,2,70.0,114.0,F,1,M,0,9,10
Male,29,African-American,0,0,0,4,-1.0,1.0,F,1,F,0,5,9
Male,27,African-American,0,1,0,6,0.0,0.0,F,1,F,0,3,6
Female,56,African-American,0,0,0,0,0.0,1.0,M,0,O,0,1,1
Female,31,Caucasian,0,0,0,2,-1.0,1.0,F,0,O,0,2,3
Male,34,African-American,0,0,0,0,0.0,0.0,F,0,O,0,4,4
Male,39,African-American,0,0,0,1,-1.0,1.0,M,0,O,0,2,4
Male,24,African-American,0,1,0,4,-1.0,1.0,M,0,O,0,4,6
Male,29,African-American,0,0,0,5,0.0,0.0,F,1,M,0,3,6
Male,27,Caucasian,0,0,1,1,-1.0,1.0,F,1,F,0,3,6
Male,41,African-American,0,0,0,0,0.0,63.0,O,-1,O,0,1,2
Male,40,African-American,0,0,0,2,-15.0,15.0,F,0,O,0,1,2
Male,51,African-American,0,0,0,1,-78.0,78.0,F,0,O,0,1,1
Male,22,African-American,0,0,0,1,0.0,1.0,M,1,M,0,3,3
Male,22,Caucasian,0,0,0,0,-1.0,1.0,F,0,O,0,6,8
Female,26,African-American,0,0,0,1,-1.0,1.0,F,1,M,1,3,4
Male,27,Caucasian,0,0,0,1,-43.0,44.0,F,1,M,1,8,7
Female,59,African-American,0,0,0,2,0.0,67.0,F,0,O,0,1,1
Male,32,Caucasian,0,0,0,3,-389.0,711.0,M,0,O,0,3,1
Male,32,African-American,0,0,0,0,-1.0,1.0,F,0,O,0,1,2
Male,41,African-American,0,0,0,1,-1.0,5185.0,M,0,O,0,2,2
Male,50,Caucasian,0,0,0,0,-1.0,1.0,M,0,O,0,1,1
Male,30,African-American,0,0,0,8,-1.0,1.0,M,1,M,1,9,10
Male,66,African-American,0,0,0,0,-1.0,1372.0,M,0,O,0,3,9
Male,52,African-American,0,0,0,3,-318.0,1.0,F,0,O,0,1,5
Male,36,African-American,0,0,0,0,0.0,63.0,O,-1,O,0,5,6
Male,22,Caucasian,0,0,0,3,-5.0,7.0,F,0,O,0,5,6
Male,25,African-American,1,6,1,14,-1.0,1.0,F,1,M,1,10,10
Female,44,Caucasian,0,0,0,0,0.0,63.0,O,-1,O,0,1,1
Male,22,African-American,1,0,0,2,0.0,0.0,F,1,M,0,10,9
Male,23,African-American,0,0,1,2,137.0,192.0,M,1,M,0,8,7
Male,54,African-American,0,0,0,6,-1.0,864.0,F,0,O,0,5,6
Male,40,Caucasian,0,0,0,4,-1.0,1.0,F,0,O,0,4,5
Male,25,African-American,0,0,0,10,-181.0,138.0,F,0,O,0,6,7
Female,35,African-American,0,0,0,1,-1.0,1.0,M,0,O,0,1,2
Male,36,African-American,0,0,0,9,0.0,1.0,F,1,M,0,6,7
Male,26,Caucasian,0,0,0,7,0.0,1.0,F,1,M,0,4,8
Female,28,African-American,0,0,0,0,0.0,63.0,O,-1,O,0,3,3
Male,30,Caucasian,0,0,1,6,-239.0,1.0,F,0,O,0,4,5
Male,25,Caucasian,0,0,0,9,-1.0,1.0,F,1,M,1,9,8
Male,71,African-American,0,0,0,12,0.0,804.0,M,0,O,0,3,7
Male,34,African-American,0,0,0,3,-21.0,21.0,M,0,O,0,2,3
Female,20,Caucasian,0,0,0,0,-1.0,1.0,F,0,O,0,8,7
Male,39,Caucasian,0,0,0,2,-2.0,3.0,F,1,F,0,1,1
Male,66,Caucasian,0,0,0,3,-64.0,64.0,F,0,O,0,1,1
Female,54,Caucasian,0,0,0,0,0.0,1.0,M,0,O,0,1,1
Male,28,African-American,0,0,0,0,0.0,63.0,O,-1,O,0,5,4
Male,19,African-American,0,0,0,1,-10.0,10.0,M,1,M,1,7,4
Male,24,African-American,0,0,0,1,-137.0,137.0,F,0,O,0,3,2
Male,30,African-American,0,0,0,1,-1.0,1.0,F,0,O,0,2,2
Female,39,Caucasian,0,0,0,0,-1.0,1.0,F,1,M,1,1,1
Female,32,African-American,0,0,0,8,0.0,1.0,M,0,O,0,1,3
Male,24,Caucasian,0,1,2,8,-1.0,0.0,F,1,F,0,6,6
Male,30,Caucasian,0,0,0,0,-1.0,1.0,F,0,O,0,2,4
Male,31,Caucasian,0,0,0,0,-1.0,1.0,M,0,O,0,2,5
Female,39,Caucasian,0,0,0,1,-1.0,1.0,F,0,O,0,3,4
Male,59,African-American,0,0,0,14,178.0,265.0,F,1,F,1,4,9
Male,35,Caucasian,0,0,0,7,0.0,0.0,F,0,O,0,3,6
Male,43,Caucasian,0,0,0,1,-30.0,30.0,F,0,O,0,1,1
Male,21,African-American,1,0,1,2,-1.0,1.0,F,0,O,0,6,9
Female,21,African-American,0,0,0,0,-1.0,1.0,M,0,O,0,4,4
Male,21,African-American,0,0,0,3,-1.0,1.0,F,1,M,0,6,9
Male,27,African-American,0,0,0,0,-1.0,1.0,F,0,O,0,3,7
Male,20,African-American,0,0,0,0,0.0,0.0,F,0,O,0,6,8
Male,38,Caucasian,0,0,0,5,-1.0,1.0,M,1,F,0,3,4
Male,27,African-American,0,0,0,3,-1.0,2.0,F,0,O,0,4,9
Male,34,Caucasian,0,0,0,0,0.0,0.0,F,0,O,0,5,5
Male,30,African-American,0,0,0,3,0.0,0.0,F,0,O,0,3,3
Male,33,African-American,0,0,0,5,0.0,1.0,F,1,M,0,2,5
Male,37,African-American,0,0,0,3,0.0,0.0,F,0,O,0,1,2
Male,42,Caucasian,0,0,0,1,0.0,1.0,F,1,F,0,2,2
Male,41,African-American,0,1,0,10,0.0,0.0,F,1,M,0,7,9
Male,22,African-American,0,0,0,0,-1.0,1.0,F,1,F,0,7,4
Male,33,African-American,0,12,2,28,-1.0,1.0,F,1,M,0,5,8
Male,44,Caucasian,0,0,0,0,-3.0,3.0,M,0,O,0,1,1
Male,31,African-American,0,0,0,1,-1.0,1.0,M,0,O,0,8,7
Male,26,African-American,0,0,0,9,0.0,0.0,F,0,O,0,7,8
Male,31,Caucasian,0,0,0,13,-1.0,0.0,F,1,F,1,7,10
Male,27,African-American,0,0,0,3,-1.0,1.0,F,1,F,0,4,9
Female,31,Caucasian,0,0,0,1,-1.0,1.0,F,0,O,0,2,2
Male,56,African-American,0,0,0,8,67.0,79.0,F,0,O,0,3,9
Male,52,Caucasian,0,0,0,3,-2.0,2.0,M,0,O,0,6,9
Male,33,African-American,0,0,0,19,-1.0,1.0,F,1,M,0,7,10
Male,61,Caucasian,0,0,0,0,-1.0,1.0,F,0,O,0,1,4
Female,64,Caucasian,0,0,0,2,-47.0,48.0,M,0,O,0,1,1
Male,22,Caucasian,0,0,0,4,-36.0,36.0,F,1,M,0,8,6
Male,42,Caucasian,0,0,0,6,-4.0,5.0,F,0,O,0,1,3
Female,25,Caucasian,0,0,0,2,-1.0,1.0,F,0,O,0,5,4
Male,27,Caucasian,0,0,0,0,-1.0,1.0,F,0,O,0,2,1
Male,30,Caucasian,0,0,0,1,-20.0,20.0,M,0,O,0,2,2
Male,23,African-American,0,0,0,0,0.0,63.0,O,-1,O,0,3,2
Male,28,Caucasian,0,0,0,2,0.0,161.0,F,0,O,0,2,1
Male,21,Caucasian,0,0,0,1,-1.0,1.0,F,0,O,0,6,5
Male,28,Caucasian,0,0,0,0,-1.0,1.0,M,1,M,0,3,2
Female,24,African-American,0,0,0,0,-1.0,1.0,M,0,O,0,3,2
Male,37,African-American,0,0,0,13,-29.0,5.0,F,0,O,0,7,8
Male,22,African-American,0,0,0,0,-1.0,1.0,F,0,O,0,8,9
Female,29,Caucasian,0,1,0,10,-1.0,1.0,F,1,F,0,2,4
Female,25,Caucasian,0,0,0,0,-1.0,1.0,F,0,O,0,3,3
Male,44,Caucasian,0,0,0,2,0.0,1.0,M,1,M,0,1,2
Male,32,African-American,0,0,0,3,-1.0,1.0,F,1,F,0,3,7
Male,31,Caucasian,0,0,0,2,-16.0,16.0,M,1,M,0,3,3
Male,27,African-American,0,0,0,5,20.0,78.0,F,0,O,0,10,10
Male,31,African-American,0,0,0,1,-1.0,1.0,M,1,M,0,3,2
Male,59,Caucasian,0,0,0,1,-1.0,1.0,F,1,M,0,1,2
Male,28,African-American,0,0,0,15,0.0,1.0,F,0,O,0,8,10
Female,45,Caucasian,0,0,0,4,0.0,375.0,F,0,O,0,3,4
Male,23,Caucasian,0,0,0,0,-1.0,1.0,M,0,O,0,3,3
Female,20,African-American,1,0,0,1,0.0,0.0,F,0,O,0,10,10
Male,42,African-American,0,0,0,2,-41.0,41.0,F,0,O,0,1,1
Female,43,Caucasian,0,0,0,0,0.0,0.0,M,0,O,0,1,1
Male,38,African-American,1,1,0,9,-1.0,1.0,F,1,M,0,4,8
Male,32,African-American,0,0,0,11,-2.0,2.0,F,1,F,1,5,6
Male,33,African-American,0,0,0,8,-1.0,1.0,M,1,M,1,2,5
Male,55,African-American,0,0,0,4,-1.0,1480.0,M,0,O,0,3,8
Female,31,African-American,0,0,0,0,-1.0,1.0,F,1,M,0,2,3
Female,33,African-American,0,0,0,7,-1.0,1.0,F,1,M,0,9,9
Male,27,African-American,0,0,0,2,-1.0,1.0,F,1,M,0,8,9
Male,52,African-American,0,0,0,0,-1.0,1.0,M,0,O,0,1,1
Female,20,African-American,0,0,0,0,0.0,1.0,F,0,O,0,8,6
Female,26,Caucasian,0,0,0,0,-2.0,2.0,M,0,O,0,3,6
Male,25,African-American,0,0,0,4,-1.0,1.0,M,0,O,0,10,10
Female,61,African-American,0,0,0,1,-1.0,1.0,F,1,M,0,1,1
Female,32,African-American,0,0,0,4,-7.0,7.0,F,1,F,1,9,10
Female,26,African-American,0,0,0,2,-1.0,1.0,M,1,M,0,4,4
Male,55,African-American,0,0,0,3,-51.0,52.0,M,0,O,0,1,1
Male,39,Caucasian,1,0,0,1,-1.0,1672.0,O,0,O,0,4,4
Female,30,Caucasian,0,0,0,3,0.0,1.0,F,1,F,0,4,7
Male,30,African-American,0,0,0,1,0.0,1.0,F,0,O,0,8,7
Male,48,Caucasian,0,0,0,2,-1.0,1.0,M,0,O,0,1,2
Male,33,Caucasian,0,0,0,0,-1.0,1.0,M,0,O,0,1,1
Male,22,African-American,0,0,0,1,-1.0,1.0,F,0,O,0,4,2
Male,46,Caucasian,0,0,0,6,22.0,31.0,F,1,M,0,1,1
Male,41,Caucasian,0,0,0,5,-1.0,1.0,F,0,O,0,4,10
Female,49,Caucasian,0,0,0,6,-56.0,56.0,F,0,O,0,2,6
Male,31,Caucasian,0,0,0,0,0.0,1.0,F,0,O,0,4,5
Male,31,African-American,0,0,0,0,-1.0,1.0,M,0,O,0,2,1
Male,25,African-American,0,0,0,1,-1.0,1.0,M,1,M,0,3,2
Male,31,African-American,0,0,0,3,-19.0,19.0,F,0,O,0,2,3
Female,21,African-American,0,0,0,0,-4.0,4.0,M,0,O,0,6,6
Female,32,African-American,0,0,0,5,-1.0,1.0,F,0,O,0,3,7
Male,62,African-American,0,0,0,8,0.0,1.0,F,0,O,0,1,4
Male,30,African-American,0,0,0,2,-188.0,1.0,M,0,O,0,4,6
Female,37,Caucasian,0,0,0,6,-110.0,111.0,F,0,O,0,4,10
Male,55,Caucasian,0,0,0,1,-45.0,45.0,F,0,O,0,1,1
Male,28,African-American,0,0,0,6,-1.0,1.0,M,1,M,1,6,6
Male,78,Caucasian,0,0,0,1,-1.0,1.0,M,1,F,0,1,1
Male,56,Caucasian,0,0,0,0,-1.0,1.0,F,0,O,0,1,1
Male,38,African-American,2,2,1,22,-34.0,35.0,F,1,M,0,5,8
Male,39,African-American,0,0,0,3,-1.0,1637.0,M,0,O,0,1,5
Male,35,Caucasian,0,0,0,0,-1.0,1.0,F,0,O,0,1,1
Male,22,African-American,0,0,0,1,0.0,1.0,F,1,M,0,5,5
Male,47,African-American,0,0,0,23,-1.0,1.0,M,1,F,0,1,8
Male,23,African-American,0,0,0,0,-1.0,1.0,M,1,M,0,4,2
Female,38,Caucasian,0,0,0,2,-35.0,35.0,F,1,M,0,2,5
Male,66,African-American,0,0,0,3,-10.0,10.0,F,1,M,1,1,1
Male,45,Caucasian,0,0,0,8,0.0,0.0,M,1,M,0,3,4
Female,28,Caucasian,0,0,0,0,-2.0,2.0,M,0,O,0,2,5
Male,32,African-American,0,0,0,13,289.0,1.0,F,1,F,0,7,10
Male,37,African-American,0,0,0,2,0.0,0.0,M,1,M,1,8,9
Male,39,Caucasian,0,0,0,0,0.0,0.0,F,1,M,0,4,4
Male,26,African-American,0,0,0,9,0.0,1.0,F,1,F,0,8,9
Male,25,African-American,0,0,0,3,-1.0,0.0,F,0,O,0,8,8
Male,45,Caucasian,0,0,0,2,-1.0,1.0,F,0,O,0,4,3
Female,57,Caucasian,0,0,0,7,0.0,0.0,F,0,O,0,1,9
Male,23,African-American,0,0,0,0,-1.0,1.0,F,1,F,1,4,3
Male,34,African-American,0,0,0,2,0.0,1.0,M,1,F,0,1,2
Male,38,African-American,0,0,0,14,0.0,1.0,F,0,O,0,8,10
Female,36,African-American,0,0,0,0,0.0,63.0,O,-1,O,0,4,3
Female,23,African-American,0,0,0,1,-1.0,1.0,M,0,O,0,4,4
Male,50,Caucasian,0,0,0,1,-4.0,4.0,F,0,O,0,1,1
Female,37,Caucasian,0,0,0,0,-1.0,1.0,M,0,O,0,1,3
Male,44,Caucasian,0,0,0,4,0.0,0.0,M,0,O,0,4,4
Female,35,African-American,0,1,0,23,-1.0,1.0,F,1,F,0,9,9
Male,31,Caucasian,0,0,0,1,-36.0,36.0,F,0,O,0,1,1
Male,26,African-American,0,0,0,2,-1.0,1.0,F,1,F,0,8,10
Male,27,African-American,0,0,0,0,-1.0,1.0,M,0,O,0,3,2
Female,31,Caucasian,0,0,0,1,-1.0,1.0,M,0,O,0,2,3
Female,28,African-American,0,0,0,0,0.0,1.0,F,0,O,0,6,8
Male,43,Caucasian,0,0,0,11,49.0,56.0,F,1,M,1,3,5
Male,42,African-American,0,0,0,0,0.0,63.0,O,-1,O,0,6,5
Female,28,Caucasian,0,0,0,7,-1.0,1.0,F,1,F,0,6,9
Male,38,African-American,0,0,0,0,0.0,1.0,F,0,O,0,1,1
Male,38,African-American,0,0,0,2,-1.0,1.0,F,0,O,0,1,1
Male,27,Caucasian,0,0,0,2,-36.0,36.0,M,0,O,0,3,4
Female,28,African-American,0,0,0,1,-1.0,1.0,F,0,O,0,7,9
Male,21,African-American,1,0,0,1,-1.0,1.0,F,0,O,0,8,7
Male,56,Caucasian,0,0,0,7,-1.0,1.0,F,1,M,0,1,1
Male,38,African-American,0,0,0,15,-1.0,1.0,F,0,O,0,3,9
Male,28,African-American,0,0,0,2,-1.0,2147.0,M,0,O,0,4,5
Male,45,African-American,0,0,0,3,104.0,23.0,F,0,O,0,4,6
Male,61,Caucasian,0,0,0,1,-34.0,34.0,F,0,O,0,1,1
Female,51,Caucasian,0,0,0,0,-1.0,1.0,M,1,M,1,1,1
Male,51,Caucasian,0,0,0,0,-1.0,1.0,M,0,O,0,2,2
Male,20,Caucasian,0,0,1,0,0.0,1.0,F,0,O,0,7,4
Male,48,African-American,0,0,0,0,-1.0,1.0,F,0,O,0,1,1
Male,37,Caucasian,0,0,0,4,0.0,0.0,F,1,M,0,4,3
Female,30,African-American,0,0,0,2,-1.0,1.0,F,0,O,0,4,7
Female,41,African-American,0,0,0,5,0.0,1.0,M,0,O,0,3,6
Male,27,African-American,0,0,0,11,-1.0,1.0,F,1,F,0,9,10
Male,37,African-American,0,0,0,0,-1.0,1.0,M,1,M,1,1,1
Male,54,African-American,0,0,0,11,-1.0,1.0,F,0,O,0,9,9
Male,23,African-American,0,0,0,2,-1.0,1.0,F,0,O,0,5,9
Male,22,African-American,0,0,0,0,-1.0,1.0,F,0,O,0,5,6
Male,68,Caucasian,0,0,0,0,0.0,63.0,O,-1,O,0,2,1
Female,26,African-American,0,0,0,2,-227.0,227.0,F,1,M,0,6,4
Female,23,African-American,0,2,0,3,0.0,1.0,F,0,O,0,6,6
Female,32,African-American,0,0,0,0,0.0,63.0,O,-1,O,0,1,3
Male,41,African-American,0,0,0,0,0.0,0.0,M,0,O,0,1,1
Male,52,Caucasian,0,0,0,0,-1.0,1.0,F,0,O,0,1,1
Male,23,African-American,0,0,0,0,0.0,63.0,O,-1,O,0,6,10
Male,43,Caucasian,0,0,0,13,0.0,1.0,F,1,F,0,1,4
Male,52,African-American,0,0,0,0,-1.0,1.0,F,0,O,0,3,4
Male,28,Caucasian,0,0,0,1,-3.0,3.0,F,0,O,0,2,1
Male,30,African-American,0,0,2,11,-1.0,1.0,M,1,M,1,4,9
Male,28,Caucasian,0,0,0,1,0.0,0.0,F,0,O,0,3,5
Male,47,Caucasian,0,0,0,1,-38.0,38.0,F,0,O,0,3,2
Female,34,African-American,0,0,0,0,-1.0,1.0,M,0,O,0,1,2
Male,22,African-American,0,0,0,0,-1.0,1.0,F,0,O,0,6,4
Male,30,African-American,0,0,0,4,0.0,0.0,F,0,O,0,2,2
Male,31,Caucasian,0,0,0,0,-1.0,1.0,F,1,F,0,5,8
Male,37,Caucasian,0,0,0,0,-1.0,1.0,F,1,M,0,1,2
Male,32,African-American,0,1,0,14,-1.0,1.0,F,0,O,0,8,9
Male,26,African-American,0,1,0,4,649.0,1562.0,M,0,O,0,6,8
Male,53,Caucasian,0,0,0,1,-1.0,1.0,M,0,O,0,1,1
Male,28,African-American,0,0,0,25,29.0,70.0,F,1,F,0,9,8
Male,44,Caucasian,0,0,0,8,-1.0,1.0,M,1,M,0,3,5
Male,25,African-American,0,0,0,0,0.0,1.0,F,0,O,0,4,3
Male,22,Caucasian,0,0,1,1,0.0,0.0,M,1,F,0,7,8
Female,30,African-American,1,0,0,2,-153.0,153.0,F,0,O,0,8,8
Female,20,African-American,0,0,0,0,-1.0,1.0,F,0,O,0,6,5
Female,33,Caucasian,0,0,0,0,-1.0,1.0,F,0,O,0,1,2
Female,47,Caucasian,0,0,0,2,-1.0,1.0,F,0,O,0,1,5
Male,36,Caucasian,0,0,0,8,150.0,0.0,F,1,M,1,9,7
Male,30,Caucasian,0,0,0,4,-140.0,140.0,F,0,O,0,2,2
Male,22,African-American,0,0,0,3,161.0,208.0,M,1,M,1,9,9
Female,24,Caucasian,0,0,0,1,-32.0,32.0,M,1,M,1,5,7
Male,27,African-American,0,0,0,3,-44.0,46.0,M,1,F,0,3,2
Male,47,African-American,0,0,0,0,-1.0,1.0,M,0,O,0,2,1
Female,23,Caucasian,0,0,4,5,-1.0,1.0,F,1,M,0,7,5
Male,29,African-American,0,0,0,1,-1.0,1.0,M,0,O,0,3,3
Male,20,African-American,0,0,0,1,-1.0,1.0,F,1,F,1,7,8
Male,30,African-American,0,0,0,2,-1.0,1.0,F,1,F,0,5,6
Male,39,Caucasian,0,0,0,1,-1.0,1.0,M,0,O,0,1,2
Male,38,African-American,0,0,0,1,-1.0,729.0,M,0,O,0,2,4
Male,27,African-American,0,0,0,4,-1.0,1.0,F,0,O,0,4,4
Male,18,African-American,2,0,0,2,-5.0,5.0,F,0,O,0,10,10
Male,31,Caucasian,0,0,0,2,812.0,1016.0,M,1,F,0,3,4
Female,37,African-American,0,0,0,2,0.0,0.0,F,0,O,0,1,1
Male,31,Caucasian,0,0,0,0,-1.0,1.0,F,0,O,0,3,2
Male,27,African-American,0,0,0,2,-1.0,1.0,F,0,O,0,5,8
Male,20,African-American,0,0,0,0,-1.0,1.0,F,0,O,0,6,8
Male,46,African-American,1,0,0,5,-1.0,1422.0,M,0,O,0,6,8
Female,52,African-American,0,0,0,0,-1.0,1.0,F,0,O,0,1,1
Female,23,African-American,0,0,0,0,-1.0,1.0,F,1,M,0,4,4
Male,20,African-American,1,0,0,1,0.0,0.0,F,0,O,0,10,7
Female,48,African-American,0,0,0,0,-1.0,1.0,F,0,O,0,3,2
Male,66,African-American,0,0,0,8,0.0,562.0,F,1,M,0,1,6
Male,25,Caucasian,0,0,0,0,0.0,1.0,F,0,O,0,4,5
Male,27,Caucasian,0,0,0,0,-1.0,1.0,F,1,F,1,7,6
Male,30,African-American,0,0,0,11,0.0,0.0,F,1,M,0,6,7
Male,22,African-American,0,1,1,3,-1.0,1.0,M,1,M,0,7,10
Female,22,Caucasian,0,0,0,1,-1.0,1.0,F,0,O,0,4,3
Male,35,African-American,0,0,0,2,0.0,1.0,F,0,O,0,8,10
Male,32,Caucasian,0,0,0,2,-232.0,232.0,F,0,O,0,4,4
Female,41,African-American,0,0,0,2,-1.0,1.0,M,0,O,0,1,3
Male,35,Caucasian,0,0,0,9,0.0,0.0,F,0,O,0,8,8
Male,43,African-American,0,0,0,0,0.0,0.0,F,0,O,0,1,1
Male,44,African-American,0,0,0,24,53.0,31.0,M,0,O,0,3,7
Male,52,African-American,0,0,0,3,0.0,1.0,F,1,F,0,2,6
Male,43,African-American,0,0,0,0,-1.0,1.0,F,0,O,0,1,1
Male,37,African-American,0,0,0,0,0.0,0.0,M,0,O,0,1,1
Female,24,Caucasian,0,0,0,0,0.0,63.0,O,-1,O,0,3,3
Female,45,Caucasian,0,0,0,3,-1.0,1.0,F,0,O,0,1,1
Male,23,African-American,0,0,0,2,-1.0,1.0,F,0,O,0,4,4
Male,37,Caucasian,0,0,0,3,-4.0,4.0,F,0,O,0,1,1
Male,28,African-American,0,0,0,3,299.0,100.0,M,1,F,1,3,4
Male,70,Caucasian,0,0,0,1,-13.0,13.0,M,0,O,0,1,1
