age,workclass,fnlwgt,education,marital-status,occupation,race,sex,capitalgain,capitalloss,hoursperweek,native-country,target
0,2,296158,1,0,10,0,1,0,0,1,0,0
3,2,187715,1,1,10,0,1,0,0,3,0,0
0,2,214542,0,0,2,0,1,0,0,2,0,0
4,1,494223,5,4,5,1,1,0,2,0,0,0
1,2,191535,1,2,10,0,1,0,0,3,0,0
2,2,228456,0,4,4,1,1,0,0,3,0,0
0,2,252752,1,0,4,0,0,0,0,2,0,0
2,5,78374,3,2,1,2,0,0,0,2,0,0
1,2,88419,1,0,1,2,0,0,0,2,7,0
2,1,201080,3,1,5,0,1,0,0,2,0,1
2,2,207157,5,2,4,0,0,0,0,2,4,0
2,3,235485,6,0,1,0,1,0,0,2,0,0
3,0,102628,3,6,11,0,1,0,0,2,0,0
0,2,25828,2,0,2,0,1,0,0,0,0,0
4,4,54826,9,6,3,0,0,0,0,0,0,0
1,2,124953,1,0,4,0,1,0,3,2,0,0
1,0,175325,1,1,11,0,1,0,0,2,0,0
3,2,96062,5,1,5,0,1,0,3,2,0,1
1,2,428030,0,0,10,0,1,0,0,3,0,0
1,0,149624,0,1,3,0,1,0,0,2,0,1
1,2,253814,1,3,5,0,0,0,0,1,0,0
0,2,312956,1,0,10,1,1,0,0,2,0,0
1,2,483777,1,0,2,1,1,0,0,2,0,0
0,2,183930,1,0,4,0,1,0,0,0,0,0
1,2,37274,0,1,3,0,1,0,0,4,0,0
2,4,181344,5,1,1,1,1,0,0,2,0,1
2,2,114580,5,2,0,0,0,0,0,2,0,0
1,2,633742,5,0,10,1,1,0,0,2,0,0
2,2,286370,7,1,8,0,1,0,0,2,4,1
2,3,29054,5,1,0,0,1,0,0,2,0,1
1,2,304030,1,1,0,1,1,0,0,2,0,0
2,1,143129,0,2,1,0,0,0,0,2,0,0
1,2,99928,3,1,3,0,0,0,0,3,0,0
4,0,109567,8,1,3,0,1,0,0,0,0,1
2,2,155222,5,2,8,1,0,0,0,1,0,0
0,2,159567,5,1,8,0,1,0,0,2,0,0
2,4,523910,0,1,10,1,1,0,0,2,0,0
3,2,120939,5,1,9,0,1,0,0,2,0,0
2,3,130760,0,1,9,0,1,0,0,1,0,0
0,2,197387,11,1,6,0,1,0,0,2,4,0
2,2,99374,5,2,10,0,1,0,0,2,0,0
2,3,56795,3,0,1,0,0,4,0,3,0,1
1,2,138992,3,1,3,0,1,2,0,2,0,1
0,1,32921,1,0,5,0,1,0,0,2,0,0
1,2,397317,3,0,3,0,0,0,2,2,0,0
3,2,259323,0,1,1,0,1,0,0,3,0,1
2,4,254817,5,0,3,0,0,0,1,2,0,0
2,0,48211,1,2,0,0,0,0,0,1,0,0
0,2,140164,2,0,5,0,0,0,0,2,0,0
2,2,128757,0,1,4,1,1,2,0,2,0,1
1,2,36270,1,2,10,0,1,0,0,3,0,0
4,5,210563,1,1,5,0,0,4,0,1,0,1
0,2,65368,2,0,5,0,0,0,0,0,0,0
2,4,160943,1,1,6,1,1,0,0,2,0,0
2,2,208358,1,1,10,0,1,0,0,2,0,1
1,2,153790,5,0,5,3,0,0,0,2,0,0
4,2,85815,1,1,10,2,1,0,0,2,0,0
3,5,125417,7,1,8,0,1,0,0,2,0,1
2,2,635913,0,0,1,1,1,0,0,3,0,1
3,2,313321,6,2,5,0,0,0,0,2,0,0
2,2,182609,0,1,5,0,1,0,0,3,12,0
2,2,109434,0,1,3,0,1,0,0,3,0,0
0,2,255004,12,0,10,0,1,0,0,2,0,0
1,2,197860,5,1,2,0,1,0,0,2,0,0
4,2,51744,1,0,4,1,1,0,4,2,0,0
3,2,176681,1,1,0,1,1,0,0,0,0,0
3,4,140359,13,0,8,0,0,0,0,1,0,0
0,2,243313,1,0,5,0,0,0,0,2,0,0
4,1,167687,1,1,7,0,1,1,0,3,0,0
4,2,314209,9,6,0,0,0,0,0,0,13,0
4,2,176796,1,2,0,0,0,0,0,2,0,0
1,2,538583,2,4,6,1,1,2,0,2,0,0
2,2,130408,1,2,5,1,0,0,0,2,0,0
0,2,159732,5,0,0,0,1,0,0,2,0,0
1,2,110978,5,2,10,4,0,0,0,2,0,0
1,2,76714,10,0,3,0,1,0,0,3,0,1
4,0,268700,1,1,4,0,1,0,0,2,0,0
2,0,170525,5,0,0,0,0,0,0,2,0,0
2,2,180138,0,1,1,0,1,0,0,3,10,1
2,4,115076,3,1,1,0,1,0,0,4,0,1
0,2,115458,1,0,6,0,1,0,0,2,0,0
2,2,347890,0,1,3,0,1,0,0,2,0,1
2,1,196001,1,1,4,0,0,0,0,0,0,0
0,0,273905,6,1,11,0,1,0,0,3,0,0
2,2,179488,5,2,10,0,1,0,2,2,0,0
4,2,236596,1,1,0,0,1,0,0,2,0,1
1,2,183916,1,0,4,0,0,0,0,1,0,0
2,2,207578,6,1,9,0,1,0,3,3,0,1
2,2,112763,10,1,3,0,0,0,0,2,0,1
2,2,390781,0,1,0,1,0,0,0,2,0,0
4,4,171328,12,6,4,1,0,0,0,1,0,0
0,4,27382,5,0,0,0,1,0,0,2,0,0
4,2,259014,5,0,6,0,1,0,0,0,0,0
2,1,303044,1,1,7,2,1,0,0,2,14,1
0,2,117789,1,0,4,0,0,0,0,2,0,0
1,2,172579,1,4,4,0,0,0,0,1,0,0
2,2,187666,9,6,1,0,0,0,0,2,0,0
3,2,204518,7,2,10,0,1,0,0,2,0,0
2,2,150042,0,2,3,0,0,0,0,2,0,0
2,2,98092,1,1,5,0,1,0,0,3,0,0
0,2,245918,2,0,4,0,1,0,0,0,0,0
4,2,146013,5,1,5,0,1,2,0,2,0,0
1,2,378322,2,1,10,0,1,0,0,2,0,0
2,5,257295,5,1,1,2,1,0,0,4,15,1
4,2,21174,1,1,1,0,1,0,0,2,0,1
1,2,185480,0,0,3,0,0,0,0,2,0,0
1,2,222205,1,1,10,0,0,0,0,2,0,1
4,2,69867,1,1,1,0,1,0,0,2,0,1
0,2,191260,4,0,4,0,1,1,0,1,0,0
3,1,30653,3,1,7,0,1,1,0,4,0,0
1,4,209109,3,0,3,0,1,0,0,1,0,0
1,2,70377,1,2,3,0,0,0,0,2,0,0
2,2,477983,1,1,2,1,1,0,0,2,0,0
2,2,170924,5,1,10,0,1,2,0,2,0,1
1,2,190174,5,0,1,0,0,0,0,2,0,0
0,2,193787,5,0,9,0,0,0,0,2,0,0
0,2,279472,5,1,8,0,0,2,0,3,0,1
0,2,34918,0,0,3,0,0,0,0,0,9,0
2,4,97688,5,1,10,0,1,2,0,2,0,1
1,2,175413,6,2,5,1,0,0,0,2,0,0
4,2,173960,0,2,3,0,0,0,0,2,0,0
0,2,205759,1,0,2,0,1,0,0,2,0,0
4,3,425161,3,1,5,0,1,4,0,2,0,1
2,2,220531,10,1,3,0,1,0,0,3,0,1
3,2,176609,5,2,4,0,1,0,0,2,0,0
0,2,371987,0,0,1,0,0,0,0,2,0,0
3,2,193884,7,1,10,0,1,0,0,2,16,0
2,2,200352,0,1,3,0,1,0,0,2,0,0
1,2,127595,1,2,3,0,0,0,0,2,0,0
1,4,220419,0,0,11,0,1,0,0,3,0,0
0,2,231931,5,0,5,0,1,0,0,2,0,0
1,2,248402,0,0,9,1,0,0,0,2,0,0
4,2,111095,1,1,6,0,1,0,0,0,0,0
2,5,57424,0,2,5,0,0,0,0,3,0,0
0,2,278130,1,0,10,0,1,0,0,2,0,0
2,2,169469,1,2,5,0,1,0,0,4,0,0
3,2,146268,0,1,0,0,1,3,0,2,0,1
0,2,153718,5,0,4,2,0,0,0,1,0,0
1,2,217460,1,1,6,0,1,0,0,2,0,1
3,2,238638,1,1,5,0,1,2,0,2,0,1
0,2,303296,5,1,0,2,0,0,0,2,17,0
2,2,173321,1,2,0,0,0,0,0,2,0,0
1,2,193945,6,0,9,0,1,0,0,2,0,0
3,2,83082,6,0,3,0,0,0,0,1,0,0
1,2,193815,6,1,0,0,1,0,0,2,0,1
2,5,34987,5,1,7,0,1,0,0,3,0,1
1,2,59306,0,0,5,0,1,0,0,2,0,0
1,2,142897,3,1,1,2,1,2,0,1,18,1
2,1,205607,0,2,3,1,0,0,0,2,0,1
0,2,199698,5,0,5,0,1,0,0,0,0,0
0,2,191954,5,0,8,0,1,0,0,2,0,0
4,1,138714,5,1,5,0,1,0,0,2,0,0
0,2,399087,11,1,8,0,0,0,0,2,4,0
1,2,423158,5,0,9,0,0,0,0,2,0,0
4,2,159841,1,6,4,0,0,0,0,1,0,0
2,1,174308,1,1,1,0,1,0,0,2,0,0
2,2,50356,5,1,10,0,1,0,1,3,0,0
1,2,186110,1,2,6,0,1,0,0,2,0,0
1,2,200381,2,0,1,0,0,0,0,2,0,0
4,1,174309,3,1,10,0,1,0,0,0,0,0
4,1,78383,1,1,7,0,1,0,0,2,0,0
2,2,187728,5,1,3,0,0,0,2,3,0,1
4,1,321171,1,1,2,0,1,0,0,2,0,0
4,2,127921,1,0,6,0,1,1,0,3,0,0
2,2,206565,5,0,10,1,1,0,0,2,0,0
1,2,224563,0,0,0,0,1,0,0,2,0,0
3,2,178686,9,0,4,0,1,0,0,2,0,0
3,4,98545,12,1,0,0,1,0,0,2,0,0
3,2,242606,1,1,6,0,1,0,0,2,0,0
0,2,270942,11,0,4,0,1,0,0,3,4,0
1,2,94235,1,0,10,0,1,0,0,2,0,0
3,2,71195,3,0,3,0,1,0,0,3,0,0
0,2,104112,1,0,5,1,1,0,0,1,19,0
2,2,261192,1,1,4,1,1,0,0,2,0,0
1,2,94936,6,0,5,0,1,0,0,2,0,0
2,2,296478,9,1,10,0,1,2,0,2,0,1
2,0,119272,1,1,11,0,1,2,0,2,0,1
1,2,85043,1,0,7,0,1,0,0,0,0,0
0,0,293364,5,0,11,1,0,0,0,2,0,0
2,1,241895,0,0,5,0,1,0,0,2,0,0
4,2,101128,6,3,4,0,1,0,0,1,10,0
1,2,156464,0,0,3,0,1,0,0,1,0,0
1,2,117963,0,1,1,0,1,0,0,2,0,1
1,2,192262,1,1,4,0,1,0,0,2,0,0
1,2,111363,0,1,1,0,1,0,0,2,0,1
3,4,329752,2,1,6,0,1,0,0,1,0,0
2,3,95432,1,1,0,0,1,0,0,2,0,1
4,2,161400,2,6,4,4,1,0,0,2,0,0
2,2,96129,9,1,9,0,1,0,0,2,0,1
2,2,111949,1,1,0,0,0,0,0,1,0,0
1,1,117125,4,1,10,0,1,0,0,2,20,0
2,2,348022,12,1,4,0,0,0,0,1,0,0
4,2,270092,3,1,3,0,1,0,0,2,0,1
2,2,180609,0,1,6,0,1,0,0,2,0,0
2,2,174575,0,2,1,0,1,0,1,2,0,1
0,2,410439,1,3,5,0,1,0,0,3,0,0
1,2,92262,1,1,10,0,1,0,0,2,0,0
4,1,183081,5,1,5,0,1,0,0,2,0,0
0,2,362589,6,0,5,0,0,0,0,0,0,0
4,2,212448,0,2,1,0,0,0,0,2,0,1
2,2,481060,1,2,5,0,0,0,0,2,0,0
1,3,185885,5,0,0,0,0,0,0,0,0,0
0,2,89821,2,0,4,0,1,0,0,0,0,0
2,0,184018,9,1,8,0,1,0,0,2,0,1
2,2,256649,1,1,8,1,1,0,0,2,0,0
2,2,160323,1,0,10,1,1,0,0,2,0,0
0,4,350845,5,0,0,0,0,0,0,0,0,0
1,2,267404,1,1,10,0,0,0,0,2,0,0
0,2,35633,5,0,5,0,1,0,0,2,0,0
3,1,80914,3,2,1,0,1,0,0,1,0,0
2,2,172927,1,1,5,0,1,0,0,3,0,0
3,2,174319,1,2,6,0,1,0,0,2,0,0
3,2,214955,11,2,10,0,0,0,4,2,0,0
0,2,344991,5,1,10,0,1,0,0,2,0,0
3,2,108699,5,2,5,0,0,0,0,2,0,0
2,4,117312,5,1,6,0,0,0,0,2,0,0
0,2,396099,1,0,4,0,0,0,0,1,0,0
1,2,134152,1,4,8,0,1,0,0,2,0,0
2,2,162028,5,1,0,0,0,0,4,0,0,1
0,2,25429,5,0,0,0,0,0,0,0,0,0
0,2,232392,1,0,4,0,0,0,0,2,0,0
1,2,220098,1,1,4,0,0,0,0,2,0,1
1,2,301302,0,0,10,0,1,0,0,3,0,0
3,1,277946,6,4,10,0,1,0,0,2,0,0
1,2,196164,1,0,4,0,0,0,0,1,0,0
2,2,115562,5,1,9,0,1,0,0,2,0,0
2,2,96975,5,2,2,0,0,0,0,2,0,0
0,2,86872,0,1,1,0,1,0,0,3,0,1
3,5,132178,0,1,1,0,1,0,0,3,0,1
0,2,416103,5,0,2,0,1,0,0,2,0,0
1,2,108574,5,0,4,0,0,0,0,2,0,0
3,0,288353,0,1,11,0,1,0,0,2,0,1
1,2,227689,9,2,9,0,0,0,0,4,0,0
1,2,166481,7,1,2,4,1,0,3,2,5,0
2,2,445382,3,1,1,0,1,0,3,4,0,1
1,2,110145,1,1,0,0,1,0,0,2,0,0
3,1,317253,1,1,10,0,1,0,0,1,0,0
1,2,364657,5,1,1,0,1,0,0,3,0,0
2,4,42346,5,2,4,1,0,0,0,1,0,0
0,2,241951,1,0,2,1,0,0,0,2,0,0
1,2,118500,5,2,1,0,0,0,0,2,0,0
3,2,188386,8,1,1,0,1,4,0,3,0,1
1,0,1033222,5,1,8,0,1,0,0,2,0,0
1,2,92440,14,2,10,0,1,0,0,3,0,1
3,2,190762,15,1,8,0,1,0,0,2,4,0
1,2,426017,2,0,4,0,0,0,0,0,0,0
1,4,243867,2,4,8,1,1,0,0,2,0,0
1,0,240283,1,2,6,0,0,0,0,2,0,0
0,2,61777,5,1,5,0,1,0,0,1,0,0
0,2,175024,2,0,2,0,1,1,0,0,0,0
1,0,92003,0,1,1,0,0,0,0,2,0,1
1,2,188401,1,2,7,0,1,0,0,2,0,0
1,2,228528,12,0,10,0,0,0,0,1,0,0
0,2,133373,1,1,6,0,1,0,0,3,0,0
2,3,255191,3,0,3,0,1,0,1,2,0,0
0,2,204653,1,0,2,0,1,0,0,4,21,0
4,5,222289,1,1,1,0,1,0,0,2,0,1
3,4,287480,3,1,3,0,1,0,0,2,0,0
2,1,204116,0,3,3,0,0,1,0,2,0,0
1,2,29662,6,1,4,0,0,0,0,1,0,1
1,2,116358,5,0,10,2,1,0,3,2,11,0
1,2,208405,3,1,3,0,1,0,0,3,0,1
1,4,284843,1,0,7,1,1,1,0,3,0,0
1,4,117018,5,0,11,0,0,0,0,2,0,0
0,2,81281,5,1,0,0,1,0,0,2,0,0
2,4,340148,5,1,0,0,0,0,0,2,0,0
1,2,363425,0,0,3,0,1,0,0,2,0,0
2,2,45857,1,2,0,0,0,0,0,1,0,0
0,3,191073,1,0,12,0,1,0,0,2,0,0
2,2,116632,5,1,3,0,1,0,0,2,0,1
1,2,405855,4,0,10,0,1,0,0,2,4,0
0,2,298227,5,0,5,0,1,0,0,1,0,0
2,2,290521,1,6,1,1,0,0,0,2,0,0
3,2,56915,1,1,10,3,1,0,0,2,0,0
0,2,146538,1,1,8,0,1,0,0,2,0,0
0,2,206399,1,0,8,1,0,0,0,2,0,0
2,5,197332,5,1,10,0,1,0,0,3,0,1
4,2,245062,1,1,10,0,1,0,0,2,0,1
2,1,234885,1,1,5,0,0,0,0,2,0,1
2,2,72887,9,1,8,2,1,0,0,2,0,1
1,2,180374,1,1,1,0,0,0,0,2,0,0
2,2,351299,5,1,6,1,1,0,0,3,0,0
0,2,54012,1,1,6,0,1,0,0,3,0,0
2,2,116632,6,0,7,0,1,0,0,2,0,0
3,4,288825,1,1,6,1,1,0,0,2,0,0
1,2,132601,0,1,3,0,1,0,0,3,0,0
3,2,193374,15,3,10,0,1,0,0,2,0,0
0,2,170070,0,0,9,0,0,0,0,0,0,0
2,2,126708,1,1,0,0,0,0,0,3,0,0
3,2,35598,1,2,6,0,1,0,0,2,0,0
2,2,33983,5,1,6,0,1,0,0,2,0,0
3,2,192776,3,1,1,0,1,0,3,2,0,1
1,2,118551,0,1,9,0,0,0,0,0,0,1
4,2,201965,5,0,3,0,1,0,0,2,0,1
1,2,285020,1,0,10,0,1,0,0,2,0,0
1,2,303990,1,0,6,0,1,0,0,3,0,0
4,2,49401,9,2,4,0,0,0,0,1,0,0
3,2,279196,0,0,10,0,0,0,0,2,0,0
0,2,211870,4,0,4,0,1,0,0,0,0,0
0,2,281432,5,0,2,0,1,0,0,1,0,0
1,2,161155,12,0,4,0,1,0,0,2,0,0
0,2,197904,1,0,4,0,0,0,0,1,0,0
1,2,111746,6,1,10,0,1,0,0,2,20,0
2,1,170721,5,1,10,0,1,0,0,0,0,0
1,0,70100,0,0,3,0,1,0,0,0,0,0
2,2,193626,1,3,10,0,0,0,0,2,0,0
0,2,189775,5,3,0,1,0,0,0,0,0,0
4,4,286967,1,1,6,0,1,0,0,2,0,0
2,4,164427,0,2,3,0,0,0,0,2,0,0
2,2,91039,0,1,5,0,1,4,0,3,0,1
2,2,347934,1,0,4,0,0,0,0,1,0,0
3,3,371373,1,2,0,0,1,0,0,2,0,0
1,2,32220,6,0,1,0,0,0,0,3,0,0
1,2,187251,1,2,3,0,0,0,0,1,0,0
1,2,178107,0,0,10,0,1,0,0,0,0,0
2,2,343121,1,2,0,0,0,0,0,2,0,0
0,2,262749,5,0,8,0,1,0,0,2,0,0
0,2,403107,11,0,4,0,1,0,0,2,22,0
1,2,64293,5,0,3,0,0,0,0,1,0,0
0,4,324960,1,0,7,0,1,0,0,2,12,0
4,4,114060,1,1,6,0,1,0,0,2,0,0
3,2,48925,5,1,0,0,1,0,0,2,0,0
4,2,180980,5,2,4,0,0,0,0,2,23,0
0,2,181054,0,0,5,0,0,0,0,2,0,0
0,2,388093,0,0,1,1,1,0,0,2,0,0
0,2,249609,5,0,11,0,1,0,0,0,0,0
2,2,112131,5,1,1,0,1,0,0,2,0,0
3,4,543162,1,4,0,1,0,0,0,2,0,0
2,2,91996,1,2,4,0,0,0,0,2,0,0
3,2,141944,9,3,2,0,1,0,1,2,0,0
1,2,37070,9,0,10,0,1,0,0,2,0,0
1,2,337587,5,1,3,0,1,0,0,3,0,1
1,2,189346,1,2,10,0,1,0,0,2,0,0
0,2,267044,5,0,0,3,0,0,0,0,0,0
1,2,108116,0,1,3,0,1,0,0,3,0,1
2,5,99146,0,1,1,0,1,4,0,4,0,1
3,2,196232,1,1,1,0,1,3,0,3,0,1
0,4,248344,5,2,2,1,1,0,0,3,0,0
2,4,186035,5,1,9,0,1,0,0,2,0,1
2,2,177905,5,2,8,0,1,0,0,3,0,1
1,2,85812,5,1,5,0,0,0,0,2,0,0
2,2,221172,0,1,1,0,1,0,0,2,0,1
4,2,99183,5,2,0,0,0,0,0,0,0,0
2,1,190387,1,1,10,0,1,0,0,3,0,0
2,1,202692,3,1,3,0,1,0,0,2,0,0
2,2,109339,2,2,8,4,0,0,0,3,5,0
1,2,108658,1,0,8,0,1,0,0,2,0,0
2,2,197202,1,1,4,1,1,0,0,2,0,0
2,2,101739,6,1,1,0,0,0,0,3,0,1
4,2,231559,10,1,3,0,1,4,0,3,0,1
2,4,207853,14,1,9,0,1,0,0,3,0,0
4,2,190942,15,6,13,1,0,0,0,1,0,0
1,2,102345,9,4,10,0,1,0,0,2,0,0
1,5,41493,0,0,7,0,0,0,0,2,0,0
2,2,210525,5,1,6,0,1,0,0,2,0,0
1,2,133937,8,0,3,0,1,0,0,2,0,0
1,2,237903,5,0,2,0,0,0,0,2,0,0
1,2,163862,1,0,6,0,1,0,0,2,0,0
1,2,201872,5,1,5,0,1,0,0,3,0,0
1,2,84179,1,0,2,0,0,0,0,2,0,0
4,2,51662,12,1,4,0,0,0,0,0,0,0
1,4,233327,5,1,11,0,1,0,0,2,0,0
0,2,259510,1,0,2,0,1,0,0,2,0,0
1,2,184831,5,0,10,0,1,0,0,2,0,0
3,1,245724,5,2,1,0,1,0,0,3,0,0
2,1,27053,1,4,4,0,0,0,0,2,0,0
4,2,205343,2,6,0,0,0,0,0,2,0,0
1,2,229328,1,1,8,1,0,0,0,2,0,0
1,3,319560,9,2,10,1,0,0,0,2,0,1
4,2,136218,2,0,8,0,0,0,0,2,0,0
1,2,54576,1,1,8,0,1,0,0,2,0,0
1,2,148291,1,1,9,0,0,0,0,1,0,0
